repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto,787,1730,9,1,1,533.1727781295776
boto,880,1637,18,2,3,528.0662219524384
boto,1022,1495,27,4,5,522.4568929672241
boto,1155,1362,36,5,7,516.3567769527435
boto,1273,1244,46,6,9,508.85983204841614
boto,1360,1157,55,8,11,503.53064012527466
boto,1423,1094,64,9,12,499.7425880432129
boto,1485,1032,73,10,14,495.5855529308319
boto,1539,978,82,12,16,492.11710691452026
boto,1603,914,92,13,18,487.00735998153687
boto,1642,875,101,15,20,484.72164607048035
boto,1696,821,110,16,22,481.18705010414124
boto,1724,793,119,17,23,480.5116128921509
boto,1762,755,128,19,25,478.6331081390381
boto,1793,724,138,20,27,476.34198689460754
boto,1812,705,147,22,29,475.97644114494324
boto,1823,694,156,23,31,475.6441900730133
boto,1851,666,165,24,33,474.11327600479126
boto,1877,640,174,26,34,472.70423102378845
boto,1889,628,184,27,36,471.8333640098572
boto,1905,612,193,28,38,471.755380153656
boto,1915,602,202,30,40,470.6289041042328
boto,1944,573,211,31,42,469.8964900970459
boto,1969,548,221,33,44,467.455139875412
boto,1983,534,230,34,46,466.9345009326935
boto,1998,519,239,35,47,465.4604420661926
boto,2008,509,248,37,49,465.16505885124207
boto,2023,494,257,38,51,463.9823591709137
boto,2038,479,267,40,53,463.64630103111267
boto,2047,470,276,41,55,462.81060099601746
boto,2057,460,285,42,57,461.8869700431824
boto,2063,454,294,44,58,461.83924102783203
boto,2065,452,303,45,60,461.1584258079529
boto,2076,441,313,46,62,460.77666902542114
boto,2086,431,322,48,64,460.585960149765
boto,2086,431,331,49,66,460.13533997535706
boto,2097,420,340,51,68,459.92059206962585
boto,2102,415,349,52,69,459.64825797080994
boto,2110,407,359,53,71,459.34916710853577
boto,2117,400,368,55,73,459.0563621520996
boto,2124,393,377,56,75,459.41295313835144
boto,2128,389,386,57,77,458.56373405456543
boto,2130,387,396,59,79,459.0030379295349
boto,2134,383,405,60,81,457.91096210479736
boto,2140,377,414,62,82,458.03921389579773
boto,2147,370,423,63,84,457.63469886779785
boto,2152,365,432,64,86,458.18761801719666
boto,2159,358,442,66,88,455.989755153656
boto,2158,359,451,67,90,456.386754989624
boto,2165,352,460,69,92,456.16213297843933
boto,2167,350,469,70,93,456.41950392723083
boto,2176,341,478,71,95,456.2135190963745
boto,2181,336,488,73,97,455.9836599826813
boto,2184,333,497,74,99,455.4289519786835
boto,2191,326,506,75,101,455.3901090621948
boto,2193,324,515,77,103,455.1135320663452
boto,2197,320,524,78,104,455.16702103614807
boto,2204,313,534,80,106,455.000235080719
boto,2209,308,543,81,108,454.9661190509796
boto,2214,303,552,82,110,455.0906410217285
boto,2216,301,561,84,112,454.5669639110565
boto,2220,297,571,85,114,454.49260997772217
boto,2221,296,580,87,116,454.40590381622314
boto,2230,287,589,88,117,454.2867488861084
boto,2231,286,598,89,119,454.1864171028137
boto,2239,278,607,91,121,454.19626903533936
boto,2246,271,617,92,123,453.2611038684845
boto,2244,273,626,93,125,454.1397268772125
boto,2254,263,635,95,127,454.00294494628906
boto,2252,265,644,96,128,453.7395510673523
boto,2262,255,653,97,130,453.7565791606903
boto,2268,249,663,99,132,453.5595529079437
boto,2278,239,672,100,134,453.0823950767517
boto,2281,236,681,102,136,452.7993791103363
boto,2287,230,690,103,138,452.4529390335083
boto,2288,229,699,104,139,453.1603682041168
boto,2288,229,709,106,141,452.8106520175934
boto,2290,227,718,107,143,452.9154920578003
boto,2294,223,727,109,145,452.42883491516113
boto,2294,223,736,110,147,452.63549613952637
boto,2299,218,746,111,149,452.16329312324524
boto,2306,211,755,113,151,452.26445412635803
boto,2315,202,764,114,152,451.9343190193176
boto,2314,203,773,115,154,451.79399514198303
boto,2321,196,782,117,156,451.449068069458
boto,2328,189,792,118,158,451.87695717811584
boto,2325,192,801,120,160,451.5806610584259
boto,2330,187,810,121,162,451.4009120464325
boto,2333,184,819,122,163,451.6681170463562
boto,2342,175,828,124,165,452.0228171348572
boto,2340,177,838,125,167,451.2021920681
boto,2343,174,847,127,169,451.2927589416504
boto,2345,172,856,128,171,451.03423404693604
boto,2348,169,865,129,173,451.18940901756287
boto,2350,167,874,131,174,451.09181690216064
boto,2347,170,884,132,176,451.4422929286957
boto,2351,166,893,133,178,451.0578899383545
boto,2356,161,902,135,180,451.2258229255676
boto,2355,162,911,136,182,451.44529700279236
boto,2356,161,921,138,184,451.5587821006775
