repo_dir,hits,misses,cache_size,dtf,ttr
boto,817,1698,9,1,211.28970408439636
boto,1170,1345,18,3,176.4082019329071
boto,1385,1130,27,5,153.51036596298218
boto,1510,1005,36,7,148.83749103546143
boto,1621,894,46,9,147.7841091156006
boto,1714,801,55,11,134.33280897140503
boto,1774,741,64,12,131.1299409866333
boto,1839,676,73,14,119.13046503067017
boto,1894,621,82,16,119.48525810241699
boto,1934,581,92,18,115.49756717681885
boto,1974,541,101,20,110.88408303260803
boto,2001,514,110,22,97.41439390182495
boto,2052,463,119,23,107.57363390922546
boto,2062,453,128,25,108.19002604484558
boto,2097,418,138,27,101.11170601844788
boto,2114,401,147,29,97.93289804458618
boto,2144,371,156,31,90.45922899246216
boto,2178,337,165,33,98.96344089508057
boto,2192,323,174,34,94.0486068725586
boto,2210,305,184,36,91.44359397888184
boto,2228,287,193,38,86.38861203193665
boto,2243,272,202,40,97.47031593322754
boto,2259,256,211,42,99.60594081878662
boto,2274,241,221,44,97.32887601852417
boto,2255,260,230,46,93.19614386558533
boto,2228,287,239,47,103.83181691169739
boto,2241,274,248,49,103.20285201072693
boto,2249,266,257,51,103.36012697219849
boto,2258,257,267,53,104.77968692779541
boto,2262,253,276,55,104.00788497924805
boto,2272,243,285,57,97.30303692817688
boto,2281,234,294,58,98.86570382118225
boto,2290,225,303,60,96.85116291046143
boto,2144,371,313,62,106.28051686286926
boto,2148,367,322,64,105.78922986984253
boto,2162,353,331,66,106.60962200164795
boto,2167,348,340,68,104.0857081413269
boto,2174,341,349,69,107.06832790374756
boto,2191,324,359,71,105.49189400672913
boto,2198,317,368,73,103.21279096603394
boto,2202,313,377,75,103.75936388969421
boto,2213,302,386,77,104.88553094863892
boto,2225,290,396,79,101.56954598426819
boto,2232,283,405,81,100.12134289741516
boto,2244,271,414,82,99.8047399520874
boto,2249,266,423,84,101.18532299995422
boto,2257,258,432,86,101.4312059879303
boto,2266,249,442,88,98.89681100845337
boto,2272,243,451,90,99.72009491920471
boto,2276,239,460,92,97.47820019721985
boto,2287,228,469,93,98.8180480003357
boto,2298,217,478,95,97.93020105361938
boto,2304,211,488,97,99.01678800582886
boto,2310,205,497,99,94.19025206565857
boto,2313,202,506,101,94.01460719108582
boto,2319,196,515,103,95.69809007644653
boto,2322,193,524,104,94.90257906913757
boto,2330,185,534,106,96.39679217338562
boto,2329,186,543,108,94.13636302947998
boto,2332,183,552,110,94.85745906829834
boto,2342,173,561,112,91.79959893226624
boto,2346,169,571,114,93.8237099647522
boto,2349,166,580,116,92.10864686965942
boto,2353,162,589,117,87.8150110244751
boto,2354,161,598,119,90.56418204307556
boto,2356,159,607,121,145.26971793174744
boto,2360,155,617,123,96.77455496788025
boto,2363,152,626,125,92.04533410072327
boto,2368,147,635,127,83.69574403762817
boto,2371,144,644,128,92.9723961353302
boto,2379,136,653,130,93.18015694618225
boto,2379,136,663,132,89.2254810333252
boto,2379,136,672,134,85.57595491409302
boto,2383,132,681,136,82.34422588348389
boto,2387,128,690,138,81.13419604301453
boto,2388,127,699,139,81.28516697883606
boto,2392,123,709,141,87.62590098381042
boto,2394,121,718,143,89.58699488639832
boto,2394,121,727,145,88.82237195968628
boto,2397,118,736,147,88.59505605697632
boto,2398,117,746,149,88.01055097579956
boto,2399,116,755,151,87.88360500335693
boto,2403,112,764,152,87.6987988948822
boto,2406,109,773,154,88.77643013000488
boto,2412,103,782,156,84.53329205513
boto,2414,101,792,158,83.91575407981873
boto,2414,101,801,160,83.56237602233887
boto,2411,104,810,162,90.52494406700134
boto,2414,101,819,163,90.35149812698364
boto,2418,97,828,165,89.65741205215454
boto,2421,94,838,167,89.96842384338379
boto,2426,89,847,169,82.97744703292847
boto,2427,88,856,171,83.76730585098267
boto,2428,87,865,173,85.34905004501343
boto,2428,87,874,174,85.23882007598877
boto,2433,82,884,176,80.48187708854675
boto,2433,82,893,178,69.8953378200531
boto,2435,80,902,180,84.10802507400513
boto,2436,79,911,182,86.91953682899475
boto,2435,80,921,184,86.3107099533081
