repo_dir,hits,misses,cache_size,dtf,ttr
boto,2210,305,184,46,98.81062316894531
boto,2219,296,188,47,98.29604005813599
boto,2226,289,193,48,97.89546394348145
boto,2240,275,198,49,97.09553503990173
boto,2242,273,202,50,96.64922380447388
boto,2253,262,207,51,95.97183513641357
boto,2259,256,211,52,95.35051107406616
boto,2265,250,216,54,95.00770306587219
boto,2274,241,221,55,93.67827892303467
boto,2282,233,225,56,94.47624206542969
boto,2253,262,230,57,97.0390100479126
boto,2256,259,234,58,97.1074070930481
boto,2227,288,239,59,100.3147988319397
boto,2232,283,244,61,99.20169806480408
boto,2239,276,248,62,98.73718810081482
boto,2242,273,253,63,98.85279393196106
boto,2248,267,257,64,97.94426488876343
boto,2251,264,262,65,98.12562799453735
boto,2257,258,267,66,98.1546459197998
boto,2260,255,271,67,96.82340002059937
boto,2263,252,276,69,97.4784882068634
boto,2266,249,280,70,96.78915190696716
boto,2270,245,285,71,96.19706106185913
boto,2269,246,290,72,96.02244210243225
boto,2275,240,294,73,95.59354591369629
boto,2283,232,299,74,94.83115887641907
boto,2285,230,303,75,94.05594611167908
boto,2288,227,308,77,94.34454703330994
boto,2140,375,313,78,102.37551283836365
boto,2146,369,317,79,101.54039001464844
boto,2149,366,322,80,101.47939801216125
boto,2154,361,326,81,100.97811007499695
boto,2163,352,331,82,100.19901704788208
boto,2165,350,336,84,100.33929514884949
boto,2167,348,340,85,99.49240803718567
boto,2171,344,345,86,99.41510510444641
boto,2175,340,349,87,99.23440909385681
boto,2182,333,354,88,98.73868107795715
boto,2190,325,359,89,98.40093398094177
boto,2195,320,363,90,98.73430109024048
boto,2197,318,368,92,97.31209707260132
boto,2200,315,373,93,97.79755210876465
boto,2204,311,377,94,97.08200597763062
boto,2211,304,382,95,97.19773387908936
boto,2213,302,386,96,96.50482702255249
boto,2222,293,391,97,95.57309794425964
boto,2224,291,396,99,95.9645528793335
boto,2228,287,400,100,95.48043012619019
boto,2232,283,405,101,95.76759791374207
boto,2235,280,409,102,95.61891508102417
