repo_dir,hits,misses,cache_size,dtf,ttr
boto3,10,154,1,1,10.536777973175049
boto3,28,136,3,1,9.522804021835327
boto3,44,120,4,1,9.59101390838623
boto3,65,99,6,1,8.658612966537476
boto3,68,96,7,1,8.80866289138794
boto3,78,86,9,2,8.982181072235107
boto3,84,80,10,2,8.64086389541626
boto3,93,71,12,3,8.455727100372314
boto3,94,70,13,3,8.136445999145508
boto3,101,63,15,3,7.71724009513855
boto3,110,54,17,4,8.325891971588135
boto3,112,52,18,4,8.191901206970215
boto3,116,48,20,5,8.12418007850647
boto3,120,44,21,5,7.922698020935059
boto3,124,40,23,5,7.97645902633667
boto3,124,40,24,6,7.889391899108887
boto3,124,40,26,6,7.9776530265808105
boto3,125,39,27,6,7.713937997817993
boto3,128,36,29,7,7.635201930999756
boto3,129,35,31,7,7.424845933914185
boto3,130,34,32,8,6.804296970367432
boto3,130,34,34,8,6.99140477180481
boto3,131,33,35,8,7.295777082443237
boto3,134,30,37,9,7.254050016403198
boto3,135,29,38,9,7.262555122375488
boto3,135,29,40,10,7.310810089111328
boto3,135,29,41,10,7.276741981506348
boto3,137,27,43,10,7.171838998794556
boto3,137,27,44,11,7.0891501903533936
boto3,137,27,46,11,7.131309986114502
boto3,141,23,48,12,7.106931924819946
boto3,135,29,49,12,7.178270101547241
boto3,137,27,51,12,7.169469118118286
boto3,137,27,52,13,7.1195759773254395
boto3,140,24,54,13,7.0823280811309814
boto3,142,22,55,13,7.077428102493286
boto3,138,26,57,14,7.122342824935913
boto3,139,25,58,14,7.07473087310791
boto3,139,25,60,15,7.032381057739258
boto3,139,25,62,15,7.210163116455078
boto3,139,25,63,15,7.1401190757751465
boto3,141,23,65,16,7.0587379932403564
boto3,142,22,66,16,7.019572019577026
boto3,143,21,68,17,6.50374698638916
boto3,144,20,69,17,6.941159963607788
boto3,146,18,71,17,6.917114019393921
boto3,147,17,72,18,6.780673980712891
boto3,147,17,74,18,6.822197914123535
boto3,147,17,75,18,6.786372184753418
boto3,148,16,77,19,6.79662299156189
boto3,149,15,79,19,6.738683223724365
boto3,148,16,80,20,6.929039001464844
boto3,150,14,82,20,6.778096914291382
boto3,151,13,83,20,6.766998052597046
boto3,152,12,85,21,6.728518009185791
boto3,152,12,86,21,6.879158973693848
boto3,152,12,88,22,6.567108869552612
boto3,152,12,89,22,6.689566135406494
boto3,152,12,91,22,6.834622859954834
boto3,152,12,93,23,6.863184928894043
boto3,152,12,94,23,6.745635986328125
boto3,152,12,96,24,6.771897077560425
boto3,152,12,97,24,6.767009973526001
boto3,152,12,99,24,6.772636890411377
boto3,153,11,100,25,6.76877498626709
boto3,153,11,102,25,6.653387069702148
boto3,153,11,103,25,6.671106815338135
boto3,153,11,105,26,6.6830339431762695
boto3,153,11,106,26,6.667414903640747
boto3,154,10,108,27,6.7411088943481445
boto3,154,10,110,27,6.790557146072388
boto3,154,10,111,27,6.639456033706665
boto3,154,10,113,28,6.678709983825684
boto3,154,10,114,28,6.7482709884643555
boto3,156,8,116,29,6.67407488822937
boto3,156,8,117,29,6.602808952331543
boto3,157,7,119,29,6.637538194656372
boto3,158,6,120,30,6.599970817565918
boto3,159,5,122,30,6.515816926956177
boto3,159,5,124,31,6.5934529304504395
boto3,159,5,125,31,6.599617958068848
boto3,159,5,127,31,6.379712104797363
boto3,159,5,128,32,6.595541000366211
boto3,159,5,130,32,6.687474012374878
boto3,159,5,131,32,6.5994579792022705
boto3,159,5,133,33,6.440832853317261
boto3,159,5,134,33,6.598898887634277
boto3,159,5,136,34,6.533552885055542
boto3,159,5,137,34,6.6169819831848145
boto3,159,5,139,34,6.519637823104858
boto3,160,4,141,35,6.6672680377960205
boto3,160,4,142,35,6.611098766326904
boto3,160,4,144,36,6.5562238693237305
boto3,160,4,145,36,6.3191399574279785
boto3,160,4,147,36,6.603488922119141
boto3,160,4,148,37,6.555809020996094
boto3,160,4,150,37,6.587440013885498
boto3,160,4,151,37,6.461195945739746
boto3,160,4,153,38,6.5391151905059814
boto3,160,4,155,38,6.529242992401123
