repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto3,9,155,1,1,1,38.5521879196167
boto3,18,146,3,1,1,37.76832103729248
boto3,26,138,4,1,1,37.8779821395874
boto3,33,131,6,1,1,37.855650901794434
boto3,45,119,7,1,1,37.49614095687866
boto3,60,104,9,2,2,37.093902826309204
boto3,62,102,10,2,2,37.0628080368042
boto3,72,92,12,3,3,36.78598380088806
boto3,73,91,13,3,3,36.656928062438965
boto3,83,81,15,3,3,36.38822102546692
boto3,89,75,17,4,4,36.12557601928711
boto3,94,70,18,4,4,36.18471693992615
boto3,99,65,20,5,5,35.8649959564209
boto3,99,65,21,5,5,36.2714900970459
boto3,74,90,23,5,5,36.75513195991516
boto3,77,87,24,6,6,36.808802127838135
boto3,82,82,26,6,6,36.48713493347168
boto3,84,80,27,6,6,36.01430416107178
boto3,83,81,29,7,7,36.10612201690674
boto3,86,78,31,7,7,36.35541486740112
boto3,88,76,32,8,8,34.27283000946045
boto3,89,75,34,8,8,33.05856990814209
boto3,91,73,35,8,8,36.17118978500366
boto3,94,70,37,9,9,36.100539207458496
boto3,95,69,38,9,9,36.26403498649597
boto3,96,68,40,10,10,36.26311016082764
boto3,100,64,41,10,10,34.69905996322632
boto3,101,63,43,10,10,33.90127611160278
boto3,103,61,44,11,11,33.96014213562012
boto3,105,59,46,11,11,33.95907115936279
boto3,105,59,48,12,12,33.93133187294006
boto3,106,58,49,12,12,34.249850034713745
boto3,106,58,51,12,12,34.03982496261597
boto3,107,57,52,13,13,34.01815605163574
boto3,107,57,54,13,13,34.44475698471069
boto3,110,54,55,13,13,35.9597749710083
boto3,112,52,57,14,14,35.86125707626343
boto3,110,54,58,14,14,36.019891023635864
boto3,110,54,60,15,15,35.813019037246704
boto3,109,55,62,15,15,34.64840388298035
boto3,113,51,63,15,15,35.66307091712952
boto3,114,50,65,16,16,35.70374011993408
boto3,115,49,66,16,16,35.78951406478882
boto3,117,47,68,17,17,34.12574577331543
boto3,119,45,69,17,17,35.01747512817383
boto3,119,45,71,17,17,33.43168091773987
boto3,123,41,72,18,18,35.430068016052246
boto3,122,42,74,18,18,33.92098903656006
boto3,125,39,75,18,18,33.58338212966919
boto3,122,42,77,19,19,32.98788118362427
boto3,123,41,79,19,19,33.106618881225586
boto3,122,42,80,20,20,35.1917941570282
boto3,125,39,82,20,20,34.00147008895874
boto3,128,36,83,20,20,33.86293578147888
boto3,127,37,85,21,21,34.12121796607971
boto3,127,37,86,21,21,33.72642517089844
boto3,127,37,88,22,22,34.37603521347046
boto3,130,34,89,22,22,33.255298137664795
boto3,131,33,91,22,22,34.638067960739136
boto3,130,34,93,23,23,34.949172019958496
boto3,124,40,94,23,23,34.01810097694397
boto3,124,40,96,24,24,34.47181415557861
boto3,128,36,97,24,24,35.07281017303467
boto3,129,35,99,24,24,34.02321195602417
boto3,126,38,100,25,25,34.4977011680603
boto3,126,38,102,25,25,35.11726999282837
boto3,130,34,103,25,25,34.6675500869751
boto3,131,33,105,26,26,34.35991883277893
boto3,133,31,106,26,26,33.809767961502075
boto3,134,30,108,27,27,34.419885873794556
boto3,134,30,110,27,27,34.29665493965149
boto3,137,27,111,27,27,35.13371920585632
boto3,137,27,113,28,28,33.68598508834839
boto3,136,28,114,28,28,32.7923629283905
boto3,136,28,116,29,29,33.62889885902405
boto3,137,27,117,29,29,34.69187688827515
boto3,137,27,119,29,29,34.44730591773987
boto3,136,28,120,30,30,35.347440004348755
boto3,136,28,122,30,30,34.24789810180664
boto3,139,25,124,31,31,32.98058199882507
boto3,140,24,125,31,31,33.99128603935242
boto3,138,26,127,31,31,35.0172700881958
boto3,137,27,128,32,32,33.53608703613281
boto3,139,25,130,32,32,33.57313013076782
boto3,139,25,131,32,32,34.48534297943115
boto3,141,23,133,33,33,34.134947061538696
boto3,140,24,134,33,33,33.959587812423706
boto3,141,23,136,34,34,34.85155391693115
boto3,140,24,137,34,34,33.15847396850586
boto3,140,24,139,34,34,34.18195605278015
boto3,140,24,141,35,35,33.75357794761658
boto3,140,24,142,35,35,32.81204319000244
boto3,140,24,144,36,36,33.77745318412781
boto3,141,23,145,36,36,34.64294195175171
boto3,141,23,147,36,36,34.84040379524231
boto3,140,24,148,37,37,32.44991588592529
boto3,140,24,150,37,37,32.954715967178345
boto3,140,24,151,37,37,34.76190996170044
boto3,142,22,153,38,38,35.17672801017761
boto3,142,22,155,38,38,35.02312088012695
