repo_dir,hits,misses,cache_size,dtf,pfs,ttr
facebook-sdk,36,49,1,1,1,5.784657955169678
facebook-sdk,36,49,1,1,1,5.788322925567627
facebook-sdk,36,49,1,1,1,5.798964023590088
facebook-sdk,36,49,1,1,1,5.775471925735474
facebook-sdk,36,49,1,1,1,5.786448001861572
facebook-sdk,36,49,1,1,1,5.780464172363281
facebook-sdk,40,45,2,1,1,5.704586029052734
facebook-sdk,40,45,2,1,1,5.710328102111816
facebook-sdk,40,45,2,1,1,5.697029113769531
facebook-sdk,46,39,3,1,1,5.61039400100708
facebook-sdk,46,39,3,1,1,5.623708963394165
facebook-sdk,46,39,3,1,1,5.631270170211792
facebook-sdk,50,35,4,1,1,5.565845966339111
facebook-sdk,50,35,4,1,1,5.55743408203125
facebook-sdk,50,35,4,1,1,5.552248001098633
facebook-sdk,51,34,5,1,1,5.533990144729614
facebook-sdk,51,34,5,1,1,5.527277946472168
facebook-sdk,51,34,5,1,1,5.516634941101074
facebook-sdk,53,32,6,1,1,5.479895114898682
facebook-sdk,53,32,6,1,1,5.476885080337524
facebook-sdk,53,32,6,1,1,5.4905760288238525
facebook-sdk,56,29,7,1,1,5.452574014663696
facebook-sdk,56,29,7,1,1,5.4567341804504395
facebook-sdk,56,29,7,1,1,5.458521842956543
facebook-sdk,63,22,8,1,1,5.402189016342163
facebook-sdk,63,22,8,1,1,5.404497146606445
facebook-sdk,63,22,8,1,1,5.409649848937988
facebook-sdk,63,22,8,1,1,5.395634889602661
facebook-sdk,50,35,9,1,1,5.5553059577941895
facebook-sdk,50,35,9,1,1,5.59682297706604
facebook-sdk,50,35,9,1,1,5.530082941055298
facebook-sdk,49,36,10,1,2,5.379158020019531
facebook-sdk,49,36,10,1,2,5.547323942184448
facebook-sdk,49,36,10,1,2,5.541069030761719
facebook-sdk,49,36,11,1,2,5.550484895706177
facebook-sdk,49,36,11,1,2,5.548006057739258
facebook-sdk,49,36,11,1,2,5.553455114364624
facebook-sdk,58,27,12,1,2,5.49537205696106
facebook-sdk,58,27,12,1,2,5.496679067611694
facebook-sdk,58,27,12,1,2,5.499732971191406
facebook-sdk,59,26,13,1,2,5.436944007873535
facebook-sdk,59,26,13,1,2,5.427095174789429
facebook-sdk,59,26,13,1,2,5.421641826629639
facebook-sdk,62,23,14,2,2,5.420373916625977
facebook-sdk,62,23,14,2,2,5.414431095123291
facebook-sdk,62,23,14,2,2,5.409749984741211
facebook-sdk,57,28,15,2,3,5.447947025299072
facebook-sdk,57,28,15,2,3,5.4447431564331055
facebook-sdk,57,28,15,2,3,5.447419166564941
facebook-sdk,61,24,16,2,3,5.404110908508301
facebook-sdk,61,24,16,2,3,5.414944887161255
facebook-sdk,61,24,16,2,3,5.422171115875244
facebook-sdk,61,24,16,2,3,5.400213956832886
facebook-sdk,61,24,17,2,3,5.399372816085815
facebook-sdk,61,24,17,2,3,5.661180019378662
facebook-sdk,61,24,17,2,3,5.465516090393066
facebook-sdk,62,23,18,2,3,5.409737825393677
facebook-sdk,62,23,18,2,3,5.401448011398315
facebook-sdk,62,23,18,2,3,5.406184911727905
facebook-sdk,62,23,19,2,3,5.410941123962402
facebook-sdk,62,23,19,2,3,5.403946876525879
facebook-sdk,62,23,19,2,3,5.40263295173645
facebook-sdk,66,19,20,3,4,5.3786938190460205
facebook-sdk,66,19,20,3,4,5.3732078075408936
facebook-sdk,66,19,20,3,4,5.374621152877808
facebook-sdk,65,20,21,3,4,5.390223979949951
facebook-sdk,65,20,21,3,4,5.391216039657593
facebook-sdk,65,20,21,3,4,5.376179933547974
facebook-sdk,66,19,22,3,4,5.3808369636535645
facebook-sdk,66,19,22,3,4,5.381528854370117
facebook-sdk,66,19,22,3,4,5.376550912857056
facebook-sdk,67,18,23,3,4,5.372550964355469
facebook-sdk,67,18,23,3,4,5.370535135269165
facebook-sdk,67,18,23,3,4,5.3593339920043945
facebook-sdk,68,17,24,3,4,5.384737014770508
facebook-sdk,68,17,24,3,4,5.3751959800720215
facebook-sdk,68,17,24,3,4,5.3811891078948975
facebook-sdk,68,17,24,3,4,5.37349009513855
facebook-sdk,71,14,25,3,5,5.351190090179443
facebook-sdk,71,14,25,3,5,5.347210884094238
facebook-sdk,71,14,25,3,5,5.358541011810303
facebook-sdk,72,13,26,3,5,5.347646951675415
facebook-sdk,72,13,26,3,5,5.347670078277588
facebook-sdk,72,13,26,3,5,5.34736704826355
facebook-sdk,71,14,27,4,5,5.35657811164856
facebook-sdk,71,14,27,4,5,5.394212961196899
facebook-sdk,71,14,27,4,5,5.169094085693359
facebook-sdk,74,11,28,4,5,5.324909925460815
facebook-sdk,74,11,28,4,5,5.353667974472046
facebook-sdk,74,11,28,4,5,5.347921848297119
facebook-sdk,74,11,29,4,5,5.3164520263671875
facebook-sdk,74,11,29,4,5,5.32500696182251
facebook-sdk,74,11,29,4,5,5.301816940307617
facebook-sdk,75,10,30,4,6,5.323827028274536
facebook-sdk,75,10,30,4,6,5.314608097076416
facebook-sdk,75,10,30,4,6,5.31522011756897
facebook-sdk,75,10,31,4,6,5.314178943634033
facebook-sdk,75,10,31,4,6,5.324822187423706
facebook-sdk,75,10,31,4,6,5.3136820793151855
facebook-sdk,75,10,32,4,6,5.324143886566162
