repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto,146,2528,9,,,30.26370096206665
boto,280,2394,18,,,30.03749108314514
boto,362,2312,27,,,30.148392915725708
boto,483,2191,36,,,30.087509870529175
boto,552,2122,46,,,30.00081515312195
boto,631,2043,55,,,29.95788884162903
boto,760,1914,64,,,29.938591957092285
boto,807,1867,73,,,29.831318140029907
boto,862,1812,82,,,30.060674905776978
boto,956,1718,92,,,30.04091715812683
boto,1017,1657,101,,,30.031893014907837
boto,1079,1595,110,,,29.972598791122437
boto,1117,1557,119,,,30.151100158691406
boto,1187,1487,128,,,29.98703408241272
boto,1258,1416,138,,,30.10441493988037
boto,1298,1376,147,,,30.06400489807129
boto,1345,1329,156,,,30.004132986068726
boto,1443,1231,165,,,29.82646894454956
boto,1421,1253,174,,,30.36987590789795
boto,1490,1184,184,,,33.75457406044006
boto,1550,1124,193,,,35.45204401016235
boto,1564,1110,202,,,35.451239824295044
boto,1636,1038,211,,,35.57227611541748
boto,1691,983,221,,,35.52268099784851
boto,1747,927,230,,,35.61960411071777
boto,1763,911,239,,,35.6232271194458
boto,1791,883,248,,,34.67792296409607
boto,1847,827,257,,,30.52077603340149
boto,1888,786,267,,,30.493347883224487
boto,1944,730,276,,,30.37334704399109
boto,1953,721,285,,,30.302695989608765
boto,1956,718,294,,,30.506489038467407
boto,2030,644,303,,,30.31573510169983
boto,2048,626,313,,,30.324068069458008
boto,2051,623,322,,,30.39728307723999
boto,2096,578,331,,,30.431288957595825
boto,2124,550,340,,,30.18703603744507
boto,2131,543,349,,,30.25961995124817
boto,2156,518,359,,,30.28936791419983
boto,2163,511,368,,,30.34151601791382
boto,2196,478,377,,,30.419681072235107
boto,2188,486,386,,,30.42146897315979
boto,2233,441,396,,,30.405160903930664
boto,2265,409,405,,,30.451961994171143
boto,2266,408,414,,,30.520159006118774
boto,2273,401,423,,,30.377297163009644
boto,2306,368,432,,,30.52301001548767
boto,2329,345,442,,,30.591917037963867
boto,2336,338,451,,,30.46297287940979
boto,2359,315,460,,,30.481242895126343
boto,2345,329,469,,,30.47089910507202
boto,2373,301,478,,,30.42805504798889
boto,2378,296,488,,,30.355345964431763
boto,2419,255,497,,,30.37522315979004
boto,2427,247,506,,,30.39417290687561
boto,2409,265,515,,,30.220152854919434
boto,2432,242,524,,,30.660998106002808
boto,2448,226,534,,,30.390594959259033
boto,2462,212,543,,,30.652013063430786
boto,2476,198,552,,,30.471510887145996
boto,2484,190,561,,,30.555717945098877
boto,2493,181,571,,,30.53767681121826
boto,2500,174,580,,,30.571798086166382
boto,2495,179,589,,,30.503550052642822
boto,2514,160,598,,,30.545723915100098
boto,2523,151,607,,,30.356266975402832
boto,2535,139,617,,,30.638957977294922
boto,2541,133,626,,,30.565871953964233
boto,2568,106,635,,,30.511212825775146
boto,2550,124,644,,,30.585841178894043
boto,2553,121,653,,,30.59642219543457
boto,2577,97,663,,,30.524774074554443
boto,2575,99,672,,,30.528517961502075
boto,2591,83,681,,,30.547724962234497
boto,2608,66,690,,,30.68438720703125
boto,2610,64,699,,,30.395865201950073
boto,2620,54,709,,,30.47325301170349
boto,2608,66,718,,,30.582709074020386
boto,2612,62,727,,,30.517475843429565
boto,2637,37,736,,,30.557946920394897
boto,2635,39,746,,,30.59063410758972
boto,2638,36,755,,,30.56275510787964
boto,2627,47,764,,,30.553746223449707
boto,2648,26,773,,,30.586833000183105
boto,2655,19,782,,,30.75078511238098
boto,2658,16,792,,,30.213167190551758
boto,2660,14,801,,,30.36911106109619
boto,2659,15,810,,,30.56512999534607
boto,2656,18,819,,,30.56970977783203
boto,2666,8,828,,,30.22304105758667
boto,2668,6,838,,,30.301436185836792
boto,2672,2,847,,,30.559916019439697
boto,2669,5,856,,,30.5602810382843
boto,2673,1,865,,,30.5470290184021
boto,2674,0,874,,,30.482349157333374
boto,2674,0,884,,,30.38414692878723
boto,2673,1,893,,,30.55914807319641
boto,2673,1,902,,,30.408561944961548
boto,2674,0,911,,,30.43505597114563
boto,2673,1,921,,,30.53249216079712
