repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto3,0,115,1,,,6.981971025466919
boto3,3,112,3,,,5.261947154998779
boto3,9,106,4,,,4.927322864532471
boto3,11,104,6,,,4.68900203704834
boto3,10,105,7,,,4.8532469272613525
boto3,18,97,9,,,4.647945880889893
boto3,13,102,10,,,4.702739000320435
boto3,20,95,12,,,4.532970905303955
boto3,23,92,13,,,4.738591909408569
boto3,21,94,15,,,4.82965612411499
boto3,37,78,17,,,4.91239595413208
boto3,30,85,18,,,4.73904013633728
boto3,34,81,20,,,4.624159097671509
boto3,33,82,21,,,4.663969039916992
boto3,42,73,23,,,4.73027491569519
boto3,44,71,24,,,4.787658929824829
boto3,40,75,26,,,4.865410804748535
boto3,51,64,27,,,4.81678581237793
boto3,61,54,29,,,4.857217073440552
boto3,50,65,31,,,4.813787937164307
boto3,58,57,32,,,4.779126882553101
boto3,54,61,34,,,4.789565086364746
boto3,71,44,35,,,4.757779121398926
boto3,65,50,37,,,4.840749025344849
boto3,74,41,38,,,4.769014835357666
boto3,75,40,40,,,4.725219964981079
boto3,72,43,41,,,4.762995958328247
boto3,76,39,43,,,4.78192400932312
boto3,75,40,44,,,4.799235105514526
boto3,85,30,46,,,4.892051935195923
boto3,81,34,48,,,4.865512847900391
boto3,90,25,49,,,4.82119607925415
boto3,83,32,51,,,4.799395799636841
boto3,89,26,52,,,4.854768991470337
boto3,93,22,54,,,4.756396055221558
boto3,89,26,55,,,4.793976783752441
boto3,93,22,57,,,4.786029100418091
boto3,90,25,58,,,4.769376993179321
boto3,100,15,60,,,4.74619197845459
boto3,97,18,62,,,4.702388048171997
boto3,95,20,63,,,4.7855119705200195
boto3,100,15,65,,,4.821713209152222
boto3,105,10,66,,,4.838101148605347
boto3,100,15,68,,,4.8725268840789795
boto3,101,14,69,,,4.840643882751465
boto3,108,7,71,,,4.99537992477417
boto3,102,13,72,,,4.562647819519043
boto3,104,11,74,,,4.823501110076904
boto3,103,12,75,,,4.953557014465332
boto3,102,13,77,,,4.82890510559082
boto3,100,15,79,,,4.762503147125244
boto3,106,9,80,,,4.838093042373657
boto3,102,13,82,,,4.7398340702056885
boto3,108,7,83,,,4.814281940460205
boto3,102,13,85,,,4.9620201587677
boto3,108,7,86,,,5.00614595413208
boto3,102,13,88,,,4.9870898723602295
boto3,107,8,89,,,4.930549144744873
boto3,103,12,91,,,4.890116930007935
boto3,107,8,93,,,4.8033530712127686
boto3,104,11,94,,,4.844717979431152
boto3,105,10,96,,,4.917687892913818
boto3,109,6,97,,,4.896620988845825
boto3,113,2,99,,,4.652774095535278
boto3,108,7,100,,,4.832226037979126
boto3,105,10,102,,,4.805072069168091
boto3,111,4,103,,,4.8465211391448975
boto3,110,5,105,,,5.013840913772583
boto3,112,3,106,,,4.837064027786255
boto3,111,4,108,,,4.8019490242004395
boto3,109,6,110,,,4.945760011672974
boto3,113,2,111,,,4.75578498840332
boto3,111,4,113,,,4.820040941238403
boto3,114,1,114,,,4.914906024932861
boto3,113,2,116,,,4.891132831573486
boto3,110,5,117,,,4.717472076416016
boto3,114,1,119,,,4.873862981796265
boto3,111,4,120,,,4.858211040496826
boto3,114,1,122,,,4.861009120941162
boto3,112,3,124,,,4.749014139175415
boto3,115,0,125,,,4.9936487674713135
boto3,114,1,127,,,4.905242919921875
boto3,113,2,128,,,4.756907939910889
boto3,113,2,130,,,4.89851188659668
boto3,115,0,131,,,5.004900932312012
boto3,114,1,133,,,4.928519010543823
boto3,112,3,134,,,4.5011420249938965
boto3,115,0,136,,,4.6510679721832275
boto3,114,1,137,,,4.601952075958252
boto3,114,1,139,,,4.616835832595825
boto3,115,0,141,,,4.496210813522339
boto3,115,0,142,,,4.596441984176636
boto3,115,0,144,,,4.664798021316528
boto3,115,0,145,,,4.901173830032349
boto3,115,0,147,,,4.833940029144287
boto3,115,0,148,,,4.8871400356292725
boto3,115,0,150,,,4.793359994888306
boto3,115,0,151,,,4.917981863021851
boto3,115,0,153,,,4.789764881134033
boto3,115,0,155,,,4.822674989700317
