repo_dir,hits,misses,cache_size,dtf,pfs,ttr
facebook-sdk,4,83,1,,,1.1805760860443115
facebook-sdk,2,85,1,,,1.0908191204071045
facebook-sdk,3,84,1,,,1.1070680618286133
facebook-sdk,5,82,1,,,1.1072218418121338
facebook-sdk,8,79,1,,,1.229794979095459
facebook-sdk,10,77,1,,,1.2214429378509521
facebook-sdk,7,80,2,,,1.2127408981323242
facebook-sdk,11,76,2,,,1.216400146484375
facebook-sdk,12,75,2,,,1.346609115600586
facebook-sdk,13,74,3,,,1.3346209526062012
facebook-sdk,11,76,3,,,1.379899024963379
facebook-sdk,12,75,3,,,1.335515022277832
facebook-sdk,15,72,4,,,1.3134608268737793
facebook-sdk,11,76,4,,,1.3111329078674316
facebook-sdk,16,71,4,,,1.3215529918670654
facebook-sdk,20,67,5,,,1.3164699077606201
facebook-sdk,10,77,5,,,1.326469898223877
facebook-sdk,17,70,5,,,1.3408710956573486
facebook-sdk,20,67,6,,,1.3117940425872803
facebook-sdk,22,65,6,,,1.3043811321258545
facebook-sdk,17,70,6,,,1.273345947265625
facebook-sdk,26,61,7,,,1.2967751026153564
facebook-sdk,24,63,7,,,1.2927770614624023
facebook-sdk,18,69,7,,,1.3028638362884521
facebook-sdk,26,61,8,,,1.3062019348144531
facebook-sdk,30,57,8,,,1.2835478782653809
facebook-sdk,24,63,8,,,1.3051631450653076
facebook-sdk,16,71,8,,,1.30794095993042
facebook-sdk,27,60,9,,,1.2881808280944824
facebook-sdk,32,55,9,,,1.2752339839935303
facebook-sdk,26,61,9,,,1.3001830577850342
facebook-sdk,38,49,10,,,1.3056209087371826
facebook-sdk,20,67,10,,,1.3081729412078857
facebook-sdk,32,55,10,,,1.2897579669952393
facebook-sdk,37,50,11,,,1.3184309005737305
facebook-sdk,37,50,11,,,1.3076331615447998
facebook-sdk,40,47,11,,,1.3002209663391113
facebook-sdk,38,49,12,,,1.2899839878082275
facebook-sdk,36,51,12,,,1.3077220916748047
facebook-sdk,36,51,12,,,1.2960329055786133
facebook-sdk,37,50,13,,,1.321122169494629
facebook-sdk,42,45,13,,,1.2879221439361572
facebook-sdk,40,47,13,,,1.2871990203857422
facebook-sdk,36,51,14,,,1.3049311637878418
facebook-sdk,47,40,14,,,1.2973911762237549
facebook-sdk,38,49,14,,,1.3063089847564697
facebook-sdk,46,41,15,,,1.302527904510498
facebook-sdk,40,47,15,,,1.3159620761871338
facebook-sdk,33,54,15,,,1.3023228645324707
facebook-sdk,48,39,16,,,1.2945520877838135
facebook-sdk,48,39,16,,,1.2830901145935059
facebook-sdk,52,35,16,,,1.3177180290222168
facebook-sdk,49,38,16,,,1.2799079418182373
facebook-sdk,53,34,17,,,1.2991900444030762
facebook-sdk,57,30,17,,,1.2926750183105469
facebook-sdk,51,36,17,,,1.3153300285339355
facebook-sdk,52,35,18,,,1.2985918521881104
facebook-sdk,53,34,18,,,1.2911479473114014
facebook-sdk,55,32,18,,,1.2929790019989014
facebook-sdk,61,26,19,,,1.3093678951263428
facebook-sdk,58,29,19,,,1.2905309200286865
facebook-sdk,56,31,19,,,1.2654950618743896
facebook-sdk,50,37,20,,,1.2969281673431396
facebook-sdk,61,26,20,,,1.279062032699585
facebook-sdk,57,30,20,,,1.2961039543151855
facebook-sdk,63,24,21,,,1.282315969467163
facebook-sdk,55,32,21,,,1.3036799430847168
facebook-sdk,54,33,21,,,1.3009121417999268
facebook-sdk,66,21,22,,,1.3021588325500488
facebook-sdk,63,24,22,,,1.3087561130523682
facebook-sdk,58,29,22,,,1.2945060729980469
facebook-sdk,56,31,23,,,1.2947840690612793
facebook-sdk,68,19,23,,,1.2889328002929688
facebook-sdk,67,20,23,,,1.293670892715454
facebook-sdk,69,18,24,,,1.2975220680236816
facebook-sdk,64,23,24,,,1.2833008766174316
facebook-sdk,58,29,24,,,1.2857599258422852
facebook-sdk,69,18,24,,,1.2758369445800781
facebook-sdk,78,9,25,,,1.2886199951171875
facebook-sdk,74,13,25,,,1.3010621070861816
facebook-sdk,74,13,25,,,1.2997379302978516
facebook-sdk,71,16,26,,,1.3130841255187988
facebook-sdk,76,11,26,,,1.3021330833435059
facebook-sdk,70,17,26,,,1.308258056640625
facebook-sdk,74,13,27,,,1.2792341709136963
facebook-sdk,74,13,27,,,1.3014640808105469
facebook-sdk,76,11,27,,,1.3032817840576172
facebook-sdk,81,6,28,,,1.2939939498901367
facebook-sdk,79,8,28,,,1.3072378635406494
facebook-sdk,79,8,28,,,1.3064830303192139
facebook-sdk,80,7,29,,,1.3006231784820557
facebook-sdk,81,6,29,,,1.2901289463043213
facebook-sdk,83,4,29,,,1.2988059520721436
facebook-sdk,83,4,30,,,1.2926390171051025
facebook-sdk,85,2,30,,,1.2925081253051758
facebook-sdk,84,3,30,,,1.2889010906219482
facebook-sdk,85,2,31,,,1.287053108215332
facebook-sdk,87,0,31,,,1.3067140579223633
facebook-sdk,87,0,31,,,1.289844036102295
facebook-sdk,87,0,32,,,1.291327953338623
