repo_dir,hits,misses,cache_size,dtf,pfs,ttr
raspberryio,3,307,2,,,2.9467358589172363
raspberryio,10,300,5,,,2.7927989959716797
raspberryio,13,297,8,,,2.7750449180603027
raspberryio,14,296,11,,,2.8207950592041016
raspberryio,18,292,13,,,2.8247690200805664
raspberryio,24,286,16,,,2.7732980251312256
raspberryio,20,290,19,,,2.7593510150909424
raspberryio,30,280,22,,,2.767565965652466
raspberryio,28,282,24,,,2.7639899253845215
raspberryio,32,278,27,,,2.7602379322052
raspberryio,46,264,30,,,2.7797508239746094
raspberryio,48,262,33,,,2.800346851348877
raspberryio,33,277,35,,,2.782543182373047
raspberryio,48,262,38,,,2.8110299110412598
raspberryio,42,268,41,,,2.7552709579467773
raspberryio,60,250,44,,,2.7788970470428467
raspberryio,47,263,46,,,2.748218059539795
raspberryio,63,247,49,,,2.7893800735473633
raspberryio,47,263,52,,,2.7763619422912598
raspberryio,59,251,55,,,2.7782061100006104
raspberryio,74,236,57,,,2.7892491817474365
raspberryio,66,244,60,,,2.788996934890747
raspberryio,65,245,63,,,2.770801067352295
raspberryio,73,237,66,,,2.773880958557129
raspberryio,83,227,68,,,2.781585931777954
raspberryio,80,230,71,,,2.781466007232666
raspberryio,87,223,74,,,2.781796932220459
raspberryio,84,226,77,,,2.764307975769043
raspberryio,87,223,79,,,2.781247138977051
raspberryio,99,211,82,,,2.7873260974884033
raspberryio,89,221,85,,,2.758349895477295
raspberryio,113,197,88,,,2.793164014816284
raspberryio,103,207,90,,,2.759058952331543
raspberryio,116,194,93,,,2.7933619022369385
raspberryio,112,198,96,,,2.813748836517334
raspberryio,113,197,99,,,2.7437081336975098
raspberryio,122,188,101,,,2.7490439414978027
raspberryio,111,199,104,,,2.7573659420013428
raspberryio,124,186,107,,,2.7762389183044434
raspberryio,137,173,110,,,2.783682107925415
raspberryio,133,177,112,,,2.8005571365356445
raspberryio,131,179,115,,,2.7849009037017822
raspberryio,122,188,118,,,2.7317450046539307
raspberryio,139,171,121,,,2.6279408931732178
raspberryio,148,162,123,,,2.617264986038208
raspberryio,132,178,126,,,2.638183832168579
raspberryio,163,147,129,,,2.6357829570770264
raspberryio,167,143,132,,,2.6108341217041016
raspberryio,141,169,134,,,2.629784107208252
raspberryio,139,171,137,,,2.638076066970825
raspberryio,151,159,140,,,2.626589059829712
raspberryio,166,144,143,,,2.6277170181274414
raspberryio,180,130,145,,,2.6150951385498047
raspberryio,156,154,148,,,2.6125259399414062
raspberryio,167,143,151,,,2.6251440048217773
raspberryio,166,144,154,,,2.6003098487854004
raspberryio,180,130,156,,,2.6169090270996094
raspberryio,182,128,159,,,2.6374459266662598
raspberryio,180,130,162,,,2.6185708045959473
raspberryio,194,116,165,,,2.625243902206421
raspberryio,189,121,167,,,2.6316161155700684
raspberryio,194,116,170,,,2.6233890056610107
raspberryio,187,123,173,,,2.623296022415161
raspberryio,199,111,176,,,2.616580009460449
raspberryio,201,109,178,,,2.612671136856079
raspberryio,200,110,181,,,2.636040210723877
raspberryio,201,109,184,,,2.6438920497894287
raspberryio,216,94,187,,,2.6375110149383545
raspberryio,218,92,189,,,2.6315438747406006
raspberryio,211,99,192,,,2.6157710552215576
raspberryio,222,88,195,,,2.63261079788208
raspberryio,233,77,198,,,2.6257851123809814
raspberryio,224,86,200,,,2.647418975830078
raspberryio,228,82,203,,,2.6383118629455566
raspberryio,224,86,206,,,2.639394998550415
raspberryio,246,64,209,,,2.6194241046905518
raspberryio,237,73,211,,,2.58121395111084
raspberryio,247,63,214,,,2.595367193222046
raspberryio,258,52,217,,,2.6664998531341553
raspberryio,239,71,220,,,2.6290738582611084
raspberryio,245,65,222,,,2.635488986968994
raspberryio,261,49,225,,,2.640949010848999
raspberryio,257,53,228,,,2.6395139694213867
raspberryio,261,49,231,,,2.6212329864501953
raspberryio,263,47,233,,,2.6450259685516357
raspberryio,267,43,236,,,2.621659994125366
raspberryio,270,40,239,,,2.640403985977173
raspberryio,269,41,242,,,2.640532970428467
raspberryio,282,28,244,,,2.6136701107025146
raspberryio,280,30,247,,,2.6069839000701904
raspberryio,287,23,250,,,2.6319580078125
raspberryio,278,32,253,,,2.6389830112457275
raspberryio,287,23,255,,,2.6382699012756348
raspberryio,294,16,258,,,2.639781951904297
raspberryio,298,12,261,,,2.6486659049987793
raspberryio,295,15,264,,,2.629760980606079
raspberryio,305,5,266,,,2.667293071746826
raspberryio,303,7,269,,,2.465096950531006
raspberryio,308,2,272,,,2.4991660118103027
raspberryio,310,0,275,,,2.4596989154815674
