repo_dir,hits,misses,cache_size,dtf,pfs,ttr
raspberryio,27,162,2,1,1,17.73271894454956
raspberryio,55,134,5,1,1,17.2233829498291
raspberryio,67,122,8,2,1,17.074681997299194
raspberryio,82,107,11,3,2,16.793478965759277
raspberryio,95,94,13,3,2,16.72622799873352
raspberryio,107,82,16,4,3,17.014282941818237
raspberryio,108,81,19,5,3,16.43648409843445
raspberryio,111,78,22,6,4,16.51865005493164
raspberryio,111,78,24,7,4,16.46633005142212
raspberryio,116,73,27,8,5,16.384411811828613
raspberryio,117,72,30,9,6,16.3104510307312
raspberryio,128,61,33,9,6,16.297760009765625
raspberryio,126,63,35,10,7,16.3426411151886
raspberryio,111,78,38,11,7,16.365226984024048
raspberryio,116,73,41,12,8,16.228163957595825
raspberryio,113,76,44,13,8,16.2533860206604
raspberryio,115,74,46,13,9,16.369540214538574
raspberryio,117,72,49,14,9,16.231779098510742
raspberryio,120,69,52,15,10,16.112128973007202
raspberryio,121,68,55,16,11,16.348526000976562
raspberryio,129,60,57,17,11,16.104192972183228
raspberryio,136,53,60,18,12,16.056732892990112
raspberryio,136,53,63,18,12,15.94110894203186
raspberryio,141,48,66,19,13,16.18070697784424
raspberryio,143,46,68,20,13,16.595437049865723
raspberryio,141,48,71,21,14,16.567881107330322
raspberryio,141,48,74,22,14,16.46807289123535
raspberryio,141,48,77,23,15,16.47584080696106
raspberryio,145,44,79,23,15,16.30673599243164
raspberryio,145,44,82,24,16,16.120299100875854
raspberryio,149,40,85,25,17,16.185505867004395
raspberryio,153,36,88,26,17,15.880367994308472
raspberryio,153,36,90,27,18,16.110249042510986
raspberryio,153,36,93,27,18,16.021412134170532
raspberryio,154,35,96,28,19,15.855717897415161
raspberryio,152,37,99,29,19,15.98491907119751
raspberryio,153,36,101,30,20,16.05027484893799
raspberryio,151,38,104,31,20,16.008203983306885
raspberryio,155,34,107,32,21,15.998809099197388
raspberryio,155,34,110,33,22,15.857565879821777
raspberryio,156,33,112,33,22,16.038257122039795
raspberryio,157,32,115,34,23,15.7447509765625
raspberryio,159,30,118,35,23,16.221606016159058
raspberryio,157,32,121,36,24,15.819935083389282
raspberryio,161,28,123,36,24,15.894598007202148
raspberryio,160,29,126,37,25,16.01552700996399
raspberryio,160,29,129,38,25,15.848901987075806
raspberryio,159,30,132,39,26,15.901791095733643
raspberryio,158,31,134,40,26,15.88741397857666
raspberryio,161,28,137,41,27,15.85755205154419
raspberryio,164,25,140,42,28,15.781637907028198
raspberryio,160,29,143,42,28,15.75957989692688
raspberryio,160,29,145,43,29,15.929823875427246
raspberryio,164,25,148,44,29,16.1955349445343
raspberryio,163,26,151,45,30,16.378477096557617
raspberryio,164,25,154,46,30,16.20421004295349
raspberryio,162,27,156,46,31,16.1108558177948
raspberryio,163,26,159,47,31,16.005166053771973
raspberryio,164,25,162,48,32,15.958319902420044
raspberryio,165,24,165,49,33,16.042962074279785
raspberryio,162,27,167,50,33,16.036267042160034
raspberryio,165,24,170,51,34,16.171125888824463
raspberryio,164,25,173,51,34,15.917845964431763
raspberryio,162,27,176,52,35,15.787032127380371
raspberryio,161,28,178,53,35,15.896920919418335
raspberryio,166,23,181,54,36,16.012662887573242
raspberryio,169,20,184,55,36,15.901262044906616
raspberryio,169,20,187,56,37,15.898774147033691
raspberryio,167,22,189,56,37,15.91427493095398
raspberryio,169,20,192,57,38,15.899516105651855
raspberryio,169,20,195,58,39,15.692394971847534
raspberryio,170,19,198,59,39,15.694389820098877
raspberryio,171,18,200,60,40,15.69151496887207
raspberryio,169,20,203,60,40,15.685561895370483
raspberryio,170,19,206,61,41,15.773226976394653
raspberryio,171,18,209,62,41,15.76527190208435
raspberryio,176,13,211,63,42,15.632074117660522
raspberryio,174,15,214,64,42,15.719774007797241
raspberryio,175,14,217,65,43,15.69602918624878
raspberryio,174,15,220,66,44,15.892210960388184
raspberryio,175,14,222,66,44,15.878029108047485
raspberryio,174,15,225,67,45,15.767892122268677
raspberryio,178,11,228,68,45,15.886518001556396
raspberryio,174,15,231,69,46,16.343348026275635
raspberryio,174,15,233,69,46,16.254299879074097
raspberryio,174,15,236,70,47,16.18358302116394
raspberryio,174,15,239,71,47,16.103182792663574
raspberryio,174,15,242,72,48,15.958351850509644
raspberryio,175,14,244,73,48,15.949352025985718
raspberryio,171,18,247,74,49,15.88089108467102
raspberryio,172,17,250,75,50,15.817249059677124
raspberryio,170,19,253,75,50,16.011312007904053
raspberryio,175,14,255,76,51,15.891495943069458
raspberryio,175,14,258,77,51,15.652736902236938
raspberryio,176,13,261,78,52,15.788495063781738
raspberryio,178,11,264,79,52,15.81886601448059
raspberryio,178,11,266,79,53,15.750804901123047
raspberryio,177,12,269,80,53,15.79729700088501
raspberryio,177,12,272,81,54,16.02492094039917
raspberryio,175,14,275,82,55,15.884596824645996
