repo_dir,hits,misses,cache_size,dtf,pfs,ttr
raspberryio,106,83,41,2,1,16.200813055038452
raspberryio,107,82,41,4,1,16.462170839309692
raspberryio,108,81,41,6,1,16.331626176834106
raspberryio,105,84,41,8,1,16.314083099365234
raspberryio,103,86,41,10,1,16.197667837142944
raspberryio,108,81,41,12,1,16.35215711593628
raspberryio,107,82,41,14,1,16.475852966308594
raspberryio,107,82,41,16,1,16.206421852111816
raspberryio,106,83,41,18,1,16.286504983901978
raspberryio,106,83,41,20,1,16.295559883117676
raspberryio,106,83,41,22,1,16.35311007499695
raspberryio,106,83,41,24,1,16.216830015182495
raspberryio,106,83,41,26,1,16.234362840652466
raspberryio,106,83,41,28,1,16.38863515853882
raspberryio,106,83,41,30,1,16.141308069229126
raspberryio,106,83,41,32,1,16.177202939987183
raspberryio,106,83,41,34,1,16.051202058792114
raspberryio,106,83,41,36,1,16.090471029281616
raspberryio,106,83,41,38,1,16.3720121383667
raspberryio,106,83,41,41,1,16.05554509162903
raspberryio,106,83,41,2,1,16.289319038391113
raspberryio,107,82,41,4,1,16.192518949508667
raspberryio,108,81,41,6,1,16.15150284767151
raspberryio,105,84,41,8,1,16.23148202896118
raspberryio,103,86,41,10,1,16.646224975585938
raspberryio,108,81,41,12,1,16.132922172546387
raspberryio,107,82,41,14,1,16.73792600631714
raspberryio,107,82,41,16,1,16.586985111236572
raspberryio,106,83,41,18,1,16.360193967819214
raspberryio,106,83,41,20,1,16.30666208267212
raspberryio,106,83,41,22,1,16.263617038726807
raspberryio,106,83,41,24,1,16.2842800617218
raspberryio,106,83,41,26,1,16.27140188217163
raspberryio,106,83,41,28,1,16.314479112625122
raspberryio,106,83,41,30,1,16.31661891937256
raspberryio,106,83,41,32,1,16.15834903717041
raspberryio,106,83,41,34,1,16.18897008895874
raspberryio,106,83,41,36,1,16.226763010025024
raspberryio,106,83,41,38,1,16.323056936264038
raspberryio,106,83,41,41,1,16.240306854248047
raspberryio,106,83,41,2,1,16.19368004798889
raspberryio,107,82,41,4,1,16.22415280342102
raspberryio,108,81,41,6,1,16.416948080062866
raspberryio,105,84,41,8,1,16.247853994369507
raspberryio,103,86,41,10,1,16.128058910369873
raspberryio,108,81,41,12,1,16.022232055664062
raspberryio,107,82,41,14,1,16.21929693222046
raspberryio,107,82,41,16,1,16.165913105010986
raspberryio,106,83,41,18,1,16.13750410079956
raspberryio,106,83,41,20,1,16.05652403831482
raspberryio,106,83,41,22,1,16.194075107574463
raspberryio,106,83,41,24,1,16.106921195983887
raspberryio,106,83,41,26,1,16.153783082962036
raspberryio,106,83,41,28,1,16.18341612815857
raspberryio,106,83,41,30,1,16.392105102539062
raspberryio,106,83,41,32,1,16.66679620742798
raspberryio,106,83,41,34,1,16.492196083068848
raspberryio,106,83,41,36,1,16.40975308418274
raspberryio,106,83,41,38,1,16.385330200195312
raspberryio,106,83,41,41,1,16.365610122680664
raspberryio,106,83,41,2,1,16.35480308532715
raspberryio,107,82,41,4,1,16.670510053634644
raspberryio,108,81,41,6,1,16.35702395439148
raspberryio,105,84,41,8,1,16.25674796104431
raspberryio,103,86,41,10,1,16.239617824554443
raspberryio,108,81,41,12,1,16.245357990264893
raspberryio,107,82,41,14,1,16.22491693496704
raspberryio,107,82,41,16,1,16.295949935913086
raspberryio,106,83,41,18,1,16.23720383644104
raspberryio,106,83,41,20,1,16.168631076812744
raspberryio,106,83,41,22,1,16.232160091400146
raspberryio,106,83,41,24,1,16.194422006607056
raspberryio,106,83,41,26,1,16.159822940826416
raspberryio,106,83,41,28,1,16.055944204330444
raspberryio,106,83,41,30,1,16.081407070159912
raspberryio,106,83,41,32,1,16.24276304244995
raspberryio,106,83,41,34,1,16.22776699066162
raspberryio,106,83,41,36,1,16.128214836120605
raspberryio,106,83,41,38,1,16.13769292831421
raspberryio,106,83,41,41,1,16.445823907852173
raspberryio,108,81,41,2,2,16.272872924804688
raspberryio,109,80,41,4,2,16.215445041656494
raspberryio,106,83,41,6,2,16.189738035202026
raspberryio,105,84,41,8,2,16.704357862472534
raspberryio,106,83,41,10,2,16.627471923828125
raspberryio,107,82,41,12,2,16.480309009552002
raspberryio,108,81,41,14,2,16.43715810775757
raspberryio,111,78,41,16,2,16.31330704689026
raspberryio,110,79,41,18,2,16.279798984527588
raspberryio,110,79,41,20,2,16.344927072525024
raspberryio,110,79,41,22,2,16.228529930114746
raspberryio,110,79,41,24,2,16.34578800201416
raspberryio,110,79,41,26,2,16.061152935028076
raspberryio,110,79,41,28,2,16.183677911758423
raspberryio,110,79,41,30,2,16.1961350440979
raspberryio,110,79,41,32,2,16.186332941055298
raspberryio,110,79,41,34,2,16.17101216316223
raspberryio,110,79,41,36,2,16.21441102027893
raspberryio,110,79,41,38,2,16.50046396255493
raspberryio,110,79,41,41,2,16.149500131607056
raspberryio,108,81,41,2,2,16.168203830718994
raspberryio,109,80,41,4,2,16.06411910057068
raspberryio,106,83,41,6,2,16.131227016448975
raspberryio,105,84,41,8,2,16.0988130569458
raspberryio,106,83,41,10,2,16.191276788711548
raspberryio,107,82,41,12,2,16.15113401412964
raspberryio,108,81,41,14,2,16.20020294189453
raspberryio,111,78,41,16,2,16.11518406867981
raspberryio,110,79,41,18,2,16.097373008728027
raspberryio,110,79,41,20,2,16.245393991470337
raspberryio,110,79,41,22,2,16.07019305229187
raspberryio,110,79,41,24,2,16.192461013793945
raspberryio,110,79,41,26,2,16.659372806549072
raspberryio,110,79,41,28,2,16.60208511352539
raspberryio,110,79,41,30,2,16.449743032455444
raspberryio,110,79,41,32,2,16.417991876602173
raspberryio,110,79,41,34,2,16.701061010360718
raspberryio,110,79,41,36,2,16.423617124557495
raspberryio,110,79,41,38,2,16.172454118728638
raspberryio,110,79,41,41,2,16.345026969909668
raspberryio,108,81,41,2,2,16.254029035568237
raspberryio,109,80,41,4,2,16.15646004676819
raspberryio,106,83,41,6,2,16.226423025131226
raspberryio,105,84,41,8,2,16.35347008705139
raspberryio,106,83,41,10,2,16.21697998046875
raspberryio,107,82,41,12,2,16.394852876663208
raspberryio,108,81,41,14,2,16.280091047286987
raspberryio,111,78,41,16,2,16.135591983795166
raspberryio,110,79,41,18,2,16.08358120918274
raspberryio,110,79,41,20,2,16.16853094100952
raspberryio,110,79,41,22,2,16.092556953430176
raspberryio,110,79,41,24,2,16.051481008529663
raspberryio,110,79,41,26,2,16.16948890686035
raspberryio,110,79,41,28,2,16.1116361618042
raspberryio,110,79,41,30,2,16.21480679512024
raspberryio,110,79,41,32,2,16.369779109954834
raspberryio,110,79,41,34,2,16.21150779724121
raspberryio,110,79,41,36,2,16.033737897872925
raspberryio,110,79,41,38,2,16.14666986465454
raspberryio,110,79,41,41,2,16.2163028717041
raspberryio,111,78,41,2,3,16.499009132385254
raspberryio,113,76,41,4,3,16.58763098716736
raspberryio,115,74,41,6,3,16.501704931259155
raspberryio,109,80,41,8,3,16.461879014968872
raspberryio,109,80,41,10,3,16.38704013824463
raspberryio,118,71,41,12,3,16.352981090545654
raspberryio,112,77,41,14,3,16.36312198638916
raspberryio,119,70,41,16,3,16.106086015701294
raspberryio,114,75,41,18,3,16.377866983413696
raspberryio,114,75,41,20,3,16.23454189300537
raspberryio,114,75,41,22,3,16.018591165542603
raspberryio,114,75,41,24,3,16.26265001296997
raspberryio,114,75,41,26,3,16.27387499809265
raspberryio,114,75,41,28,3,16.548294067382812
raspberryio,114,75,41,30,3,16.221168994903564
raspberryio,114,75,41,32,3,16.291170120239258
raspberryio,114,75,41,34,3,16.12706995010376
raspberryio,114,75,41,36,3,16.182491064071655
raspberryio,114,75,41,38,3,16.08518695831299
raspberryio,114,75,41,41,3,16.093630075454712
raspberryio,111,78,41,2,3,16.132668018341064
raspberryio,113,76,41,4,3,16.21056294441223
raspberryio,115,74,41,6,3,16.129101037979126
raspberryio,109,80,41,8,3,16.222408771514893
raspberryio,109,80,41,10,3,16.279217004776
raspberryio,118,71,41,12,3,16.081900119781494
raspberryio,112,77,41,14,3,16.152864933013916
raspberryio,119,70,41,16,3,16.12090516090393
raspberryio,114,75,41,18,3,16.230824947357178
raspberryio,114,75,41,20,3,16.687353134155273
raspberryio,114,75,41,22,3,16.64945888519287
raspberryio,114,75,41,24,3,16.65473699569702
raspberryio,114,75,41,26,3,16.4011390209198
raspberryio,114,75,41,28,3,16.392647981643677
raspberryio,114,75,41,30,3,16.287565231323242
raspberryio,114,75,41,32,3,16.20201015472412
raspberryio,114,75,41,34,3,16.2359778881073
raspberryio,114,75,41,36,3,16.28342294692993
raspberryio,114,75,41,38,3,16.318909168243408
raspberryio,114,75,41,41,3,16.24702000617981
raspberryio,112,77,41,2,4,16.398788928985596
raspberryio,111,78,41,4,4,16.193149089813232
raspberryio,114,75,41,6,4,16.292914867401123
raspberryio,112,77,41,8,4,16.34916114807129
raspberryio,114,75,41,10,4,16.26471185684204
raspberryio,114,75,41,12,4,16.137392044067383
raspberryio,116,73,41,14,4,16.15901803970337
raspberryio,116,73,41,16,4,16.08471703529358
raspberryio,114,75,41,18,4,16.132033109664917
raspberryio,114,75,41,20,4,16.264099836349487
raspberryio,114,75,41,22,4,16.674242973327637
raspberryio,114,75,41,24,4,16.05732297897339
raspberryio,114,75,41,26,4,16.05718994140625
raspberryio,114,75,41,28,4,16.202086925506592
raspberryio,114,75,41,30,4,16.115437030792236
raspberryio,114,75,41,32,4,16.111932039260864
raspberryio,114,75,41,34,4,16.0643949508667
raspberryio,114,75,41,36,4,16.381187915802002
raspberryio,114,75,41,38,4,16.65801692008972
raspberryio,114,75,41,41,4,16.495210886001587
raspberryio,112,77,41,2,4,16.484603881835938
raspberryio,111,78,41,4,4,16.608200073242188
raspberryio,114,75,41,6,4,16.207798957824707
raspberryio,112,77,41,8,4,16.32273006439209
raspberryio,114,75,41,10,4,16.27345108985901
raspberryio,114,75,41,12,4,16.387507915496826
raspberryio,116,73,41,14,4,16.25570797920227
raspberryio,116,73,41,16,4,16.12141489982605
raspberryio,114,75,41,18,4,16.619141101837158
raspberryio,114,75,41,20,4,16.32926321029663
raspberryio,114,75,41,22,4,16.109452962875366
raspberryio,114,75,41,24,4,16.35679006576538
raspberryio,114,75,41,26,4,16.24349594116211
raspberryio,114,75,41,28,4,16.236715078353882
raspberryio,114,75,41,30,4,16.187579870224
raspberryio,114,75,41,32,4,16.059022903442383
raspberryio,114,75,41,34,4,16.09030294418335
raspberryio,114,75,41,36,4,16.06255292892456
raspberryio,114,75,41,38,4,16.238884925842285
raspberryio,114,75,41,41,4,16.197598934173584
raspberryio,112,77,41,2,4,16.12318181991577
raspberryio,111,78,41,4,4,16.11116909980774
raspberryio,114,75,41,6,4,16.13500189781189
raspberryio,112,77,41,8,4,16.173117876052856
raspberryio,114,75,41,10,4,16.112507104873657
raspberryio,114,75,41,12,4,16.219388008117676
raspberryio,116,73,41,14,4,16.581215858459473
raspberryio,116,73,41,16,4,16.79484510421753
raspberryio,114,75,41,18,4,16.619053840637207
raspberryio,114,75,41,20,4,16.505903005599976
raspberryio,114,75,41,22,4,16.444599866867065
raspberryio,114,75,41,24,4,16.330552101135254
raspberryio,114,75,41,26,4,16.27959108352661
raspberryio,114,75,41,28,4,16.152799129486084
raspberryio,114,75,41,30,4,16.393594980239868
raspberryio,114,75,41,32,4,16.321431159973145
raspberryio,114,75,41,34,4,16.230666875839233
raspberryio,114,75,41,36,4,16.322702884674072
raspberryio,114,75,41,38,4,16.318456172943115
raspberryio,114,75,41,41,4,16.085336923599243
raspberryio,113,76,41,2,5,16.300537109375
raspberryio,110,79,41,4,5,16.399112939834595
raspberryio,114,75,41,6,5,16.188045024871826
raspberryio,111,78,41,8,5,16.364124059677124
raspberryio,115,74,41,10,5,16.12667417526245
raspberryio,117,72,41,12,5,16.41715097427368
raspberryio,118,71,41,14,5,16.164143085479736
raspberryio,118,71,41,16,5,16.040361881256104
raspberryio,115,74,41,18,5,16.198626041412354
raspberryio,115,74,41,20,5,16.214177131652832
raspberryio,115,74,41,22,5,16.1264967918396
raspberryio,115,74,41,24,5,16.175463914871216
raspberryio,115,74,41,26,5,16.20137310028076
raspberryio,115,74,41,28,5,16.06127691268921
raspberryio,115,74,41,30,5,16.419482946395874
raspberryio,115,74,41,32,5,16.69920015335083
raspberryio,115,74,41,34,5,16.589706897735596
raspberryio,115,74,41,36,5,16.468975067138672
raspberryio,115,74,41,38,5,16.455759048461914
raspberryio,115,74,41,41,5,16.449969053268433
raspberryio,113,76,41,2,5,16.397021055221558
raspberryio,110,79,41,4,5,16.391597986221313
raspberryio,114,75,41,6,5,16.265053033828735
raspberryio,111,78,41,8,5,16.54919409751892
raspberryio,115,74,41,10,5,16.32545804977417
raspberryio,117,72,41,12,5,16.192190170288086
raspberryio,118,71,41,14,5,16.37630009651184
raspberryio,118,71,41,16,5,16.213613986968994
raspberryio,115,74,41,18,5,16.3125159740448
raspberryio,115,74,41,20,5,16.313168048858643
raspberryio,115,74,41,22,5,16.32526397705078
raspberryio,115,74,41,24,5,16.083405017852783
raspberryio,115,74,41,26,5,16.10736608505249
raspberryio,115,74,41,28,5,16.24624991416931
raspberryio,115,74,41,30,5,16.19347310066223
raspberryio,115,74,41,32,5,16.234808921813965
raspberryio,115,74,41,34,5,16.190181970596313
raspberryio,115,74,41,36,5,16.154115915298462
raspberryio,115,74,41,38,5,16.32077193260193
raspberryio,115,74,41,41,5,16.1630220413208
raspberryio,108,81,41,2,6,16.36889100074768
raspberryio,107,82,41,4,6,16.35551691055298
raspberryio,111,78,41,6,6,16.56916308403015
raspberryio,111,78,41,8,6,16.71204400062561
raspberryio,113,76,41,10,6,16.76701307296753
raspberryio,114,75,41,12,6,16.409998893737793
raspberryio,115,74,41,14,6,16.379176139831543
raspberryio,115,74,41,16,6,16.38139796257019
raspberryio,112,77,41,18,6,16.354197025299072
raspberryio,112,77,41,20,6,16.278069019317627
raspberryio,112,77,41,22,6,16.207266092300415
raspberryio,112,77,41,24,6,16.435866117477417
raspberryio,112,77,41,26,6,16.262001991271973
raspberryio,112,77,41,28,6,16.268845081329346
raspberryio,112,77,41,30,6,16.282202005386353
raspberryio,112,77,41,32,6,16.320261001586914
raspberryio,112,77,41,34,6,16.309267044067383
raspberryio,112,77,41,36,6,16.294774055480957
raspberryio,112,77,41,38,6,16.29670214653015
raspberryio,112,77,41,41,6,16.199781894683838
raspberryio,108,81,41,2,6,16.65613603591919
raspberryio,107,82,41,4,6,16.25020980834961
raspberryio,111,78,41,6,6,16.12793779373169
raspberryio,111,78,41,8,6,16.29894995689392
raspberryio,113,76,41,10,6,16.27346897125244
raspberryio,114,75,41,12,6,16.2217960357666
raspberryio,115,74,41,14,6,16.206868171691895
raspberryio,115,74,41,16,6,16.219917058944702
raspberryio,112,77,41,18,6,16.282509803771973
raspberryio,112,77,41,20,6,16.353298902511597
raspberryio,112,77,41,22,6,16.246807098388672
raspberryio,112,77,41,24,6,16.540058851242065
raspberryio,112,77,41,26,6,16.678767919540405
raspberryio,112,77,41,28,6,16.514551162719727
raspberryio,112,77,41,30,6,16.57764983177185
raspberryio,112,77,41,32,6,16.37318706512451
raspberryio,112,77,41,34,6,16.460304975509644
raspberryio,112,77,41,36,6,16.297652006149292
raspberryio,112,77,41,38,6,16.44132399559021
raspberryio,112,77,41,41,6,16.529804944992065
raspberryio,108,81,41,2,6,16.53589916229248
raspberryio,107,82,41,4,6,16.276422023773193
raspberryio,111,78,41,6,6,16.404369831085205
raspberryio,111,78,41,8,6,16.210219860076904
raspberryio,113,76,41,10,6,16.204806089401245
raspberryio,114,75,41,12,6,16.313753843307495
raspberryio,115,74,41,14,6,16.193437099456787
raspberryio,115,74,41,16,6,16.182278156280518
raspberryio,112,77,41,18,6,16.110069036483765
raspberryio,112,77,41,20,6,16.115662097930908
raspberryio,112,77,41,22,6,16.19522190093994
raspberryio,112,77,41,24,6,16.14175796508789
raspberryio,112,77,41,26,6,16.305726051330566
raspberryio,112,77,41,28,6,16.166985988616943
raspberryio,112,77,41,30,6,16.159110069274902
raspberryio,112,77,41,32,6,16.157795906066895
raspberryio,112,77,41,34,6,16.16610288619995
raspberryio,112,77,41,36,6,16.695335865020752
raspberryio,112,77,41,38,6,16.206923007965088
raspberryio,112,77,41,41,6,16.203274965286255
raspberryio,107,82,41,2,7,16.810532093048096
raspberryio,105,84,41,4,7,16.803236961364746
raspberryio,107,82,41,6,7,16.643031120300293
raspberryio,109,80,41,8,7,16.466309070587158
raspberryio,110,79,41,10,7,16.416046142578125
raspberryio,112,77,41,12,7,16.44091010093689
raspberryio,115,74,41,14,7,16.31119394302368
raspberryio,115,74,41,16,7,16.23585295677185
raspberryio,111,78,41,18,7,16.36006999015808
raspberryio,111,78,41,20,7,16.26142191886902
raspberryio,111,78,41,22,7,16.385329008102417
raspberryio,111,78,41,24,7,16.41011095046997
raspberryio,111,78,41,26,7,16.331440925598145
raspberryio,111,78,41,28,7,16.352298974990845
raspberryio,111,78,41,30,7,16.252556085586548
raspberryio,111,78,41,32,7,16.555150985717773
raspberryio,111,78,41,34,7,16.11525297164917
raspberryio,111,78,41,36,7,16.17094898223877
raspberryio,111,78,41,38,7,16.15844702720642
raspberryio,111,78,41,41,7,16.113610982894897
raspberryio,107,82,41,2,7,16.40853714942932
raspberryio,105,84,41,4,7,16.275803089141846
raspberryio,107,82,41,6,7,16.26775312423706
raspberryio,109,80,41,8,7,16.17246699333191
raspberryio,110,79,41,10,7,16.22080111503601
raspberryio,112,77,41,12,7,16.151034832000732
raspberryio,115,74,41,14,7,16.22335386276245
raspberryio,115,74,41,16,7,16.295172929763794
raspberryio,111,78,41,18,7,16.543116092681885
raspberryio,111,78,41,20,7,16.7609441280365
raspberryio,111,78,41,22,7,16.708899974822998
raspberryio,111,78,41,24,7,16.569154977798462
raspberryio,111,78,41,26,7,16.418914079666138
raspberryio,111,78,41,28,7,16.60758686065674
raspberryio,111,78,41,30,7,16.523088932037354
raspberryio,111,78,41,32,7,16.351145029067993
raspberryio,111,78,41,34,7,16.369490146636963
raspberryio,111,78,41,36,7,16.39521884918213
raspberryio,111,78,41,38,7,16.23350501060486
raspberryio,111,78,41,41,7,16.309428930282593
raspberryio,108,81,41,2,8,16.33116602897644
raspberryio,105,84,41,4,8,16.52465510368347
raspberryio,106,83,41,6,8,16.34262704849243
raspberryio,109,80,41,8,8,16.251386880874634
raspberryio,109,80,41,10,8,16.241775035858154
raspberryio,112,77,41,12,8,16.235461950302124
raspberryio,114,75,41,14,8,16.149398803710938
raspberryio,114,75,41,16,8,16.172827005386353
raspberryio,111,78,41,18,8,16.215752840042114
raspberryio,111,78,41,20,8,16.305788040161133
raspberryio,111,78,41,22,8,16.343878984451294
raspberryio,111,78,41,24,8,16.24874496459961
raspberryio,111,78,41,26,8,16.736976861953735
raspberryio,111,78,41,28,8,16.241649866104126
raspberryio,111,78,41,30,8,16.292593002319336
raspberryio,111,78,41,32,8,16.33665108680725
raspberryio,111,78,41,34,8,16.30387806892395
raspberryio,111,78,41,36,8,16.826433897018433
raspberryio,111,78,41,38,8,16.67667508125305
raspberryio,111,78,41,41,8,16.602833032608032
