repo_dir,hits,misses,cache_size,dtf,ttr
boto,815,1700,9,1,219.7364110947
boto,1166,1349,18,2,191.4552969933
boto,1378,1137,27,4,174.5270218849
boto,1503,1012,36,5,164.0296370983
boto,1625,890,46,6,154.081704855
boto,1714,801,55,8,146.6194660664
boto,1772,743,64,9,141.5480928421
boto,1840,675,73,10,135.1626448631
boto,1902,613,82,12,129.81072402
boto,1945,570,92,13,126.2158210278
boto,1996,519,101,15,122.5270678997
boto,2003,512,110,16,120.8574221134
boto,2050,465,119,17,118.1555950642
boto,2078,437,128,19,114.6335968971
boto,2110,405,138,20,112.9490070343
boto,2122,393,147,22,111.9051070213
boto,2157,358,156,23,108.5473148823
boto,2184,331,165,24,106.313616991
boto,2190,325,174,26,106.5646178722
boto,2210,305,184,27,104.5701918602
boto,2226,289,193,28,103.7528619766
boto,2241,274,202,30,102.5817260742
boto,2260,255,211,31,101.1617429256
boto,2274,241,221,33,100.1568260193
boto,2255,260,230,34,103.2851850986
boto,2230,285,239,35,105.8836247921
boto,2241,274,248,37,105.2819478512
boto,2249,266,257,38,90.3381438255
boto,2260,255,267,40,91.7567901611
boto,2266,249,276,41,91.5973770618
boto,2273,242,285,42,97.6869399548
boto,2279,236,294,44,101.6121408939
boto,2285,230,303,45,101.9080049992
boto,2141,374,313,46,109.6258540154
boto,2148,367,322,48,108.6209890842
boto,2167,348,331,49,107.6784207821
boto,2172,343,340,51,97.0435838699
boto,2182,333,349,52,103.4790768623
boto,2196,319,359,53,106.1459679604
boto,2201,314,368,55,105.7198212147
boto,2207,308,377,56,105.0392091274
boto,2216,299,386,57,104.1874880791
boto,2220,295,396,59,102.7933709621
boto,2231,284,405,60,100.6245090961
boto,2242,273,414,62,101.4048440456
boto,2248,267,423,63,93.9962830544
boto,2255,260,432,64,95.0524110794
boto,2264,251,442,66,93.5740098953
boto,2270,245,451,67,92.7467269897
boto,2276,239,460,69,95.468555212
boto,2285,230,469,70,94.68491292
boto,2298,217,478,71,95.0408899784
boto,2304,211,488,73,91.9298598766
boto,2307,208,497,74,89.8973250389
boto,2312,203,506,75,88.3418970108
boto,2319,196,515,77,87.1744689941
boto,2322,193,524,78,92.4269230366
boto,2326,189,534,80,93.4947221279
boto,2330,185,543,81,91.0632381439
boto,2333,182,552,82,89.8309280872
boto,2342,173,561,84,90.7679350376
boto,2346,169,571,85,89.4183399677
boto,2348,167,580,87,87.9768230915
boto,2352,163,589,88,88.7046239376
boto,2353,162,598,89,89.5619699955
boto,2356,159,607,91,93.7455739975
boto,2359,156,617,92,94.9087209702
boto,2362,153,626,93,91.5644879341
boto,2368,147,635,95,93.0704391003
boto,2371,144,644,96,92.8671798706
boto,2378,137,653,97,88.9424419403
boto,2379,136,663,99,85.3403089046
boto,2379,136,672,100,83.9097981453
boto,2382,133,681,102,92.4827349186
boto,2387,128,690,103,88.095539093
boto,2388,127,699,104,90.9402279854
boto,2392,123,709,106,87.1738300323
boto,2394,121,718,107,86.9530310631
boto,2394,121,727,109,86.7018499374
boto,2397,118,736,110,89.1890408993
boto,2398,117,746,111,89.5314610004
boto,2400,115,755,113,88.731304884
boto,2403,112,764,114,83.1896250248
boto,2406,109,773,115,84.4171748161
boto,2412,103,782,117,83.5661988258
boto,2413,102,792,118,77.6255691051
boto,2413,102,801,120,84.800796032
boto,2418,97,810,121,82.653110981
boto,2415,100,819,122,78.6229450703
boto,2418,97,828,124,82.7349271774
boto,2421,94,838,125,87.7145540714
boto,2424,91,847,127,87.553360939
boto,2427,88,856,128,82.8569550514
boto,2428,87,865,129,86.4514169693
boto,2432,83,874,131,85.4350159168
boto,2432,83,884,132,85.9401190281
boto,2433,82,893,133,83.4330341816
boto,2433,82,902,135,75.6351029873
boto,2437,78,911,136,675.8041400909
boto,2435,80,921,138,82.0390269756
