repo_dir,hits,misses,cache_size,dtf,ttr
boto,2210,305,184,36,99.77293992042542
boto,2219,296,188,37,99.61518096923828
boto,2226,289,193,38,98.8226671218872
boto,2240,275,198,39,98.24603009223938
boto,2242,273,202,40,97.98270082473755
boto,2253,262,207,41,97.64751386642456
boto,2259,256,211,42,96.56892991065979
boto,2265,250,216,43,96.24130916595459
boto,2274,241,221,44,95.51167106628418
boto,2282,233,225,45,95.0400378704071
boto,2253,262,230,46,98.2853798866272
boto,2256,259,234,46,98.38135409355164
boto,2227,288,239,47,101.60747194290161
boto,2232,283,244,48,101.12293601036072
boto,2239,276,248,49,100.1158230304718
boto,2242,273,253,50,100.4049801826477
boto,2248,267,257,51,99.54032492637634
boto,2251,264,262,52,99.35928392410278
boto,2257,258,267,53,99.81980919837952
boto,2260,255,271,54,99.07643389701843
boto,2263,252,276,55,98.68419790267944
boto,2266,249,280,56,98.60932683944702
boto,2270,245,285,57,97.35917806625366
boto,2269,246,290,58,97.94883894920349
boto,2275,240,294,58,97.14651799201965
boto,2283,232,299,59,95.80771398544312
boto,2285,230,303,60,96.1009509563446
boto,2288,227,308,61,95.69172811508179
boto,2140,375,313,62,104.09333395957947
boto,2146,369,317,63,104.14589405059814
boto,2149,366,322,64,102.86216807365417
boto,2154,361,326,65,103.61128091812134
boto,2163,352,331,66,102.60267090797424
boto,2165,350,336,67,102.26915097236633
boto,2167,348,340,68,102.10043811798096
boto,2171,344,345,69,101.44700884819031
boto,2175,340,349,69,101.11091017723083
boto,2182,333,354,70,101.32934093475342
boto,2190,325,359,71,101.10924005508423
boto,2195,320,363,72,100.06288504600525
boto,2197,318,368,73,100.12496495246887
boto,2200,315,373,74,99.88597798347473
boto,2204,311,377,75,99.00726890563965
boto,2211,304,382,76,98.43244290351868
boto,2213,302,386,77,98.45488119125366
boto,2222,293,391,78,97.87208104133606
boto,2224,291,396,79,97.65339994430542
boto,2228,287,400,80,97.60256814956665
boto,2232,283,405,81,97.18887996673584
boto,2235,280,409,81,96.70618009567261
