repo_dir,hits,misses,cache_size,dtf,ttr
boto3,10,154,1,1,10.644160985946655
boto3,28,136,3,1,9.702395915985107
boto3,44,120,4,1,9.859418153762817
boto3,65,99,6,1,8.408683061599731
boto3,68,96,7,1,7.92829704284668
boto3,78,86,9,1,8.849845170974731
boto3,82,82,10,1,6.575963020324707
boto3,90,74,12,1,6.314716815948486
boto3,96,68,13,1,7.693372011184692
boto3,99,65,15,1,7.810896873474121
boto3,111,53,17,1,5.995929956436157
boto3,112,52,18,1,6.2003021240234375
boto3,114,50,20,2,6.007568120956421
boto3,118,46,21,2,7.02133584022522
boto3,122,42,23,2,6.365787982940674
boto3,122,42,24,2,7.319499969482422
boto3,122,42,26,2,7.576687812805176
boto3,124,40,27,2,7.380641937255859
boto3,127,37,29,2,7.190731048583984
boto3,128,36,31,3,7.775933027267456
boto3,129,35,32,3,7.320971965789795
boto3,129,35,34,3,7.593084096908569
boto3,130,34,35,3,7.718153953552246
boto3,133,31,37,3,7.423646926879883
boto3,134,30,38,3,7.529404163360596
boto3,134,30,40,4,7.5863401889801025
boto3,134,30,41,4,7.594267129898071
boto3,136,28,43,4,7.030268907546997
boto3,136,28,44,4,7.0632030963897705
boto3,137,27,46,4,7.311913013458252
boto3,140,24,48,4,7.23158597946167
boto3,135,29,49,4,6.95198392868042
boto3,137,27,51,5,7.298083066940308
boto3,137,27,52,5,7.088890790939331
boto3,140,24,54,5,7.197965860366821
boto3,142,22,55,5,7.128313064575195
boto3,138,26,57,5,7.166746139526367
boto3,139,25,58,5,7.124746084213257
boto3,139,25,60,6,7.133534908294678
boto3,139,25,62,6,7.199142932891846
boto3,139,25,63,6,7.169095039367676
boto3,141,23,65,6,7.328222036361694
boto3,142,22,66,6,7.088003873825073
boto3,143,21,68,6,7.151119947433472
boto3,144,20,69,6,7.10036301612854
boto3,146,18,71,7,7.0258660316467285
boto3,147,17,72,7,6.998993158340454
boto3,147,17,74,7,7.017030954360962
boto3,147,17,75,7,6.841005086898804
boto3,148,16,77,7,6.957977056503296
boto3,149,15,79,7,6.999855041503906
boto3,148,16,80,8,7.049186944961548
boto3,150,14,82,8,6.948844909667969
boto3,151,13,83,8,6.828444004058838
boto3,152,12,85,8,6.306421995162964
boto3,152,12,86,8,5.8271849155426025
boto3,152,12,88,8,5.632261037826538
boto3,152,12,89,8,5.426580190658569
boto3,152,12,91,9,5.506058931350708
boto3,152,12,93,9,5.29381799697876
boto3,152,12,94,9,6.3055479526519775
boto3,152,12,96,9,6.575258016586304
boto3,152,12,97,9,5.828557968139648
boto3,152,12,99,9,6.002895832061768
boto3,153,11,100,10,6.513746023178101
boto3,153,11,102,10,6.40086817741394
boto3,153,11,103,10,5.331748008728027
boto3,153,11,105,10,5.640630006790161
boto3,153,11,106,10,6.435104846954346
boto3,154,10,108,10,5.998776912689209
boto3,154,10,110,11,6.495473146438599
boto3,154,10,111,11,6.36250901222229
boto3,154,10,113,11,6.888903856277466
boto3,154,10,114,11,6.795994997024536
boto3,156,8,116,11,6.906519174575806
boto3,156,8,117,11,6.811845064163208
boto3,157,7,119,11,6.8733320236206055
boto3,158,6,120,12,6.967607021331787
boto3,159,5,122,12,6.967382192611694
boto3,159,5,124,12,6.6995530128479
boto3,159,5,125,12,6.7294111251831055
boto3,159,5,127,12,6.682284116744995
boto3,159,5,128,12,6.612719774246216
boto3,159,5,130,13,6.909071207046509
boto3,159,5,131,13,6.317170143127441
boto3,159,5,133,13,6.3899970054626465
boto3,159,5,134,13,6.912230014801025
boto3,159,5,136,13,6.834364891052246
boto3,159,5,137,13,6.9625349044799805
boto3,159,5,139,13,6.804713010787964
boto3,160,4,141,14,6.933370113372803
boto3,160,4,142,14,6.964112997055054
boto3,160,4,144,14,6.835527181625366
boto3,160,4,145,14,6.1919779777526855
boto3,160,4,147,14,6.872798204421997
boto3,160,4,148,14,6.840135097503662
boto3,160,4,150,15,6.101203918457031
boto3,160,4,151,15,6.7814719676971436
boto3,160,4,153,15,6.752247095108032
boto3,160,4,155,15,6.665390968322754
