repo_dir,hits,misses,cache_size,dtf,pfs,ttr
raspberryio,118,71,55,2,1,16.160335063934326
raspberryio,120,69,55,5,1,16.103677988052368
raspberryio,123,66,55,8,1,16.01120400428772
raspberryio,124,65,55,11,1,15.887668132781982
raspberryio,124,65,55,13,1,16.00063395500183
raspberryio,123,66,55,16,1,15.909276008605957
raspberryio,122,67,55,19,1,15.849951982498169
raspberryio,122,67,55,22,1,16.076551914215088
raspberryio,122,67,55,24,1,16.005324840545654
raspberryio,122,67,55,27,1,16.02063798904419
raspberryio,122,67,55,30,1,16.195980072021484
raspberryio,122,67,55,33,1,16.03490686416626
raspberryio,122,67,55,35,1,16.05953598022461
raspberryio,122,67,55,38,1,16.063060998916626
raspberryio,122,67,55,41,1,16.058869123458862
raspberryio,122,67,55,44,1,16.469207048416138
raspberryio,122,67,55,46,1,16.46143889427185
raspberryio,122,67,55,49,1,16.427994966506958
raspberryio,122,67,55,52,1,16.207859992980957
raspberryio,122,67,55,55,1,16.19223690032959
raspberryio,118,71,55,2,1,16.34406614303589
raspberryio,120,69,55,5,1,16.183024883270264
raspberryio,123,66,55,8,1,16.094401121139526
raspberryio,124,65,55,11,1,16.266072034835815
raspberryio,124,65,55,13,1,15.98677110671997
raspberryio,123,66,55,16,1,15.977011919021606
raspberryio,122,67,55,19,1,16.11015796661377
raspberryio,122,67,55,22,1,16.180205821990967
raspberryio,122,67,55,24,1,16.101351022720337
raspberryio,122,67,55,27,1,16.536461114883423
raspberryio,122,67,55,30,1,16.046727895736694
raspberryio,122,67,55,33,1,16.00947594642639
raspberryio,122,67,55,35,1,16.038403034210205
raspberryio,122,67,55,38,1,15.949569940567017
raspberryio,122,67,55,41,1,15.953145980834961
raspberryio,122,67,55,44,1,15.954882144927979
raspberryio,122,67,55,46,1,16.132362127304077
raspberryio,122,67,55,49,1,16.041993141174316
raspberryio,122,67,55,52,1,16.17630910873413
raspberryio,122,67,55,55,1,16.27198600769043
raspberryio,118,71,55,2,1,16.14259386062622
raspberryio,120,69,55,5,1,16.120593070983887
raspberryio,123,66,55,8,1,15.990214109420776
raspberryio,124,65,55,11,1,16.092911958694458
raspberryio,124,65,55,13,1,16.567945957183838
raspberryio,123,66,55,16,1,16.56042718887329
raspberryio,122,67,55,19,1,16.36349105834961
raspberryio,122,67,55,22,1,16.69054388999939
raspberryio,122,67,55,24,1,16.22164297103882
raspberryio,122,67,55,27,1,16.221946001052856
raspberryio,122,67,55,30,1,16.122012853622437
raspberryio,122,67,55,33,1,16.11065411567688
raspberryio,122,67,55,35,1,16.172189950942993
raspberryio,122,67,55,38,1,16.085951805114746
raspberryio,122,67,55,41,1,15.966410875320435
raspberryio,122,67,55,44,1,16.109549045562744
raspberryio,122,67,55,46,1,16.15143394470215
raspberryio,122,67,55,49,1,16.070590019226074
raspberryio,122,67,55,52,1,16.120434999465942
raspberryio,122,67,55,55,1,16.132472038269043
raspberryio,124,65,55,2,2,15.945096969604492
raspberryio,123,66,55,5,2,16.038153171539307
raspberryio,124,65,55,8,2,15.96120810508728
raspberryio,123,66,55,11,2,15.944416999816895
raspberryio,125,64,55,13,2,16.022300004959106
raspberryio,126,63,55,16,2,16.04195499420166
raspberryio,125,64,55,19,2,16.44022822380066
raspberryio,125,64,55,22,2,16.011470079421997
raspberryio,125,64,55,24,2,16.02155303955078
raspberryio,125,64,55,27,2,15.896931886672974
raspberryio,125,64,55,30,2,15.971889972686768
raspberryio,125,64,55,33,2,16.083837032318115
raspberryio,125,64,55,35,2,16.099810123443604
raspberryio,125,64,55,38,2,16.5541889667511
raspberryio,125,64,55,41,2,16.446680068969727
raspberryio,125,64,55,44,2,16.38848090171814
raspberryio,125,64,55,46,2,16.31822896003723
raspberryio,125,64,55,49,2,16.420820951461792
raspberryio,125,64,55,52,2,16.302095890045166
raspberryio,125,64,55,55,2,16.167146921157837
raspberryio,124,65,55,2,2,16.02661108970642
raspberryio,123,66,55,5,2,16.236242055892944
raspberryio,124,65,55,8,2,16.04651403427124
raspberryio,123,66,55,11,2,16.08836603164673
raspberryio,125,64,55,13,2,16.25819206237793
raspberryio,126,63,55,16,2,16.271432161331177
raspberryio,125,64,55,19,2,16.03992199897766
raspberryio,125,64,55,22,2,16.167474031448364
raspberryio,125,64,55,24,2,16.148179054260254
raspberryio,125,64,55,27,2,15.973655939102173
raspberryio,125,64,55,30,2,16.00804901123047
raspberryio,125,64,55,33,2,15.997538805007935
raspberryio,125,64,55,35,2,16.02191400527954
raspberryio,125,64,55,38,2,15.958647012710571
raspberryio,125,64,55,41,2,16.185648202896118
raspberryio,125,64,55,44,2,15.959521055221558
raspberryio,125,64,55,46,2,16.000686168670654
raspberryio,125,64,55,49,2,16.027629137039185
raspberryio,125,64,55,52,2,15.949713945388794
raspberryio,125,64,55,55,2,16.116368055343628
raspberryio,127,62,55,2,3,16.090403079986572
raspberryio,125,64,55,5,3,16.218569040298462
raspberryio,128,61,55,8,3,16.535629987716675
raspberryio,128,61,55,11,3,16.779680013656616
raspberryio,129,60,55,13,3,16.358989000320435
raspberryio,128,61,55,16,3,16.20767307281494
raspberryio,127,62,55,19,3,16.278927087783813
raspberryio,127,62,55,22,3,16.21541690826416
raspberryio,127,62,55,24,3,16.146221160888672
raspberryio,127,62,55,27,3,16.093571186065674
raspberryio,127,62,55,30,3,16.281518936157227
raspberryio,127,62,55,33,3,16.068794012069702
raspberryio,127,62,55,35,3,16.1037540435791
raspberryio,127,62,55,38,3,16.178766012191772
raspberryio,127,62,55,41,3,16.10143208503723
raspberryio,127,62,55,44,3,16.178879976272583
raspberryio,127,62,55,46,3,16.18877410888672
raspberryio,127,62,55,49,3,16.10025715827942
raspberryio,127,62,55,52,3,16.05568790435791
raspberryio,127,62,55,55,3,15.98947787284851
raspberryio,127,62,55,2,3,15.9354989528656
raspberryio,125,64,55,5,3,15.957385063171387
raspberryio,128,61,55,8,3,16.277825117111206
raspberryio,128,61,55,11,3,15.890783071517944
raspberryio,129,60,55,13,3,16.021306037902832
raspberryio,128,61,55,16,3,16.00748920440674
raspberryio,127,62,55,19,3,16.062403917312622
raspberryio,127,62,55,22,3,15.94222092628479
raspberryio,127,62,55,24,3,16.256091833114624
raspberryio,127,62,55,27,3,16.05458092689514
raspberryio,127,62,55,30,3,16.279247999191284
raspberryio,127,62,55,33,3,16.559711933135986
raspberryio,127,62,55,35,3,16.486135959625244
raspberryio,127,62,55,38,3,16.366342067718506
raspberryio,127,62,55,41,3,16.25257110595703
raspberryio,127,62,55,44,3,16.15151882171631
raspberryio,127,62,55,46,3,16.350877046585083
raspberryio,127,62,55,49,3,16.220873832702637
raspberryio,127,62,55,52,3,16.196238040924072
raspberryio,127,62,55,55,3,16.216702938079834
raspberryio,127,62,55,2,4,16.327839136123657
raspberryio,129,60,55,5,4,16.07348608970642
raspberryio,131,58,55,8,4,16.112764835357666
raspberryio,131,58,55,11,4,16.2034649848938
raspberryio,132,57,55,13,4,16.106170892715454
raspberryio,131,58,55,16,4,16.020606994628906
raspberryio,130,59,55,19,4,16.080662965774536
raspberryio,130,59,55,22,4,16.042001962661743
raspberryio,130,59,55,24,4,15.920197010040283
raspberryio,130,59,55,27,4,15.903417110443115
raspberryio,130,59,55,30,4,15.942653894424438
raspberryio,130,59,55,33,4,16.14540696144104
raspberryio,130,59,55,35,4,16.12224006652832
raspberryio,130,59,55,38,4,16.020791053771973
raspberryio,130,59,55,41,4,16.12182092666626
raspberryio,130,59,55,44,4,16.21052384376526
raspberryio,130,59,55,46,4,16.123011827468872
raspberryio,130,59,55,49,4,16.054139137268066
raspberryio,130,59,55,52,4,15.983892917633057
raspberryio,130,59,55,55,4,16.688923120498657
raspberryio,127,62,55,2,4,16.63468098640442
raspberryio,129,60,55,5,4,16.562886953353882
raspberryio,131,58,55,8,4,16.41801691055298
raspberryio,131,58,55,11,4,16.24218201637268
raspberryio,132,57,55,13,4,16.177897930145264
raspberryio,131,58,55,16,4,16.26332378387451
raspberryio,130,59,55,19,4,16.11992597579956
raspberryio,130,59,55,22,4,16.157896995544434
raspberryio,130,59,55,24,4,16.164457082748413
raspberryio,130,59,55,27,4,16.05750584602356
raspberryio,130,59,55,30,4,16.068418979644775
raspberryio,130,59,55,33,4,16.111191034317017
raspberryio,130,59,55,35,4,16.123020887374878
raspberryio,130,59,55,38,4,16.130879163742065
raspberryio,130,59,55,41,4,16.12044405937195
raspberryio,130,59,55,44,4,16.11132788658142
raspberryio,130,59,55,46,4,16.12073302268982
raspberryio,130,59,55,49,4,16.194536924362183
raspberryio,130,59,55,52,4,16.012682914733887
raspberryio,130,59,55,55,4,15.914194822311401
raspberryio,129,60,55,2,5,16.107906103134155
raspberryio,131,58,55,5,5,16.115954875946045
raspberryio,132,57,55,8,5,15.97391414642334
raspberryio,132,57,55,11,5,16.027540922164917
raspberryio,133,56,55,13,5,15.992467880249023
raspberryio,132,57,55,16,5,16.03623604774475
raspberryio,131,58,55,19,5,16.231486082077026
raspberryio,131,58,55,22,5,15.994189023971558
raspberryio,131,58,55,24,5,16.21528196334839
raspberryio,131,58,55,27,5,16.4936580657959
raspberryio,131,58,55,30,5,16.325505018234253
raspberryio,131,58,55,33,5,16.353323936462402
raspberryio,131,58,55,35,5,16.272746086120605
raspberryio,131,58,55,38,5,16.283464193344116
raspberryio,131,58,55,41,5,16.278715133666992
raspberryio,131,58,55,44,5,16.040603160858154
raspberryio,131,58,55,46,5,16.504876136779785
raspberryio,131,58,55,49,5,16.350454092025757
raspberryio,131,58,55,52,5,16.02745509147644
raspberryio,131,58,55,55,5,16.046719074249268
raspberryio,128,61,55,2,6,16.097551107406616
raspberryio,125,64,55,5,6,16.141496896743774
raspberryio,126,63,55,8,6,16.30247688293457
raspberryio,128,61,55,11,6,16.185845136642456
raspberryio,130,59,55,13,6,16.15733289718628
raspberryio,129,60,55,16,6,16.175254106521606
raspberryio,128,61,55,19,6,15.999572038650513
raspberryio,128,61,55,22,6,15.943667888641357
raspberryio,128,61,55,24,6,16.033061027526855
raspberryio,128,61,55,27,6,16.111078023910522
raspberryio,128,61,55,30,6,16.045071840286255
raspberryio,128,61,55,33,6,16.006711959838867
raspberryio,128,61,55,35,6,15.962028980255127
raspberryio,128,61,55,38,6,16.103912830352783
raspberryio,128,61,55,41,6,16.17091703414917
raspberryio,128,61,55,44,6,16.194103002548218
raspberryio,128,61,55,46,6,16.016775131225586
raspberryio,128,61,55,49,6,16.344555139541626
raspberryio,128,61,55,52,6,16.551333904266357
raspberryio,128,61,55,55,6,16.527419090270996
raspberryio,128,61,55,2,6,16.410032987594604
raspberryio,125,64,55,5,6,16.491134881973267
raspberryio,126,63,55,8,6,16.334826946258545
raspberryio,128,61,55,11,6,16.20294690132141
raspberryio,130,59,55,13,6,16.340234994888306
raspberryio,129,60,55,16,6,16.286354064941406
raspberryio,128,61,55,19,6,16.150035858154297
raspberryio,128,61,55,22,6,16.027267932891846
raspberryio,128,61,55,24,6,16.135619163513184
raspberryio,128,61,55,27,6,16.34023904800415
raspberryio,128,61,55,30,6,16.189754962921143
raspberryio,128,61,55,33,6,16.208812952041626
raspberryio,128,61,55,35,6,16.11579394340515
raspberryio,128,61,55,38,6,16.56409192085266
raspberryio,128,61,55,41,6,16.01029109954834
raspberryio,128,61,55,44,6,16.10057282447815
raspberryio,128,61,55,46,6,16.068303108215332
raspberryio,128,61,55,49,6,16.01280117034912
raspberryio,128,61,55,52,6,16.18297505378723
raspberryio,128,61,55,55,6,16.118118047714233
raspberryio,127,62,55,2,7,15.993771076202393
raspberryio,124,65,55,5,7,16.26238703727722
raspberryio,125,64,55,8,7,16.036813020706177
raspberryio,128,61,55,11,7,16.065359830856323
raspberryio,129,60,55,13,7,16.045871019363403
raspberryio,129,60,55,16,7,16.173426866531372
raspberryio,129,60,55,19,7,16.43007493019104
raspberryio,129,60,55,22,7,16.599030017852783
raspberryio,129,60,55,24,7,16.460057973861694
raspberryio,129,60,55,27,7,16.312535047531128
raspberryio,129,60,55,30,7,16.327267169952393
raspberryio,129,60,55,33,7,16.45281195640564
raspberryio,129,60,55,35,7,16.399189949035645
raspberryio,129,60,55,38,7,16.201377868652344
raspberryio,129,60,55,41,7,16.315474033355713
raspberryio,129,60,55,44,7,16.172308921813965
raspberryio,129,60,55,46,7,16.029361963272095
raspberryio,129,60,55,49,7,16.236836910247803
raspberryio,129,60,55,52,7,16.17042899131775
raspberryio,129,60,55,55,7,16.289994955062866
raspberryio,127,62,55,2,7,16.288235187530518
raspberryio,124,65,55,5,7,16.230590105056763
raspberryio,125,64,55,8,7,16.266000032424927
raspberryio,128,61,55,11,7,16.02944588661194
raspberryio,129,60,55,13,7,16.113314867019653
raspberryio,129,60,55,16,7,16.16034698486328
raspberryio,129,60,55,19,7,16.118088006973267
raspberryio,129,60,55,22,7,16.263272047042847
raspberryio,129,60,55,24,7,16.221688985824585
raspberryio,129,60,55,27,7,16.151308059692383
raspberryio,129,60,55,30,7,16.529453992843628
raspberryio,129,60,55,33,7,16.209211826324463
raspberryio,129,60,55,35,7,16.178761959075928
raspberryio,129,60,55,38,7,16.181708812713623
raspberryio,129,60,55,41,7,16.089539051055908
raspberryio,129,60,55,44,7,16.650853872299194
raspberryio,129,60,55,46,7,16.57935094833374
raspberryio,129,60,55,49,7,16.442427158355713
raspberryio,129,60,55,52,7,16.342684984207153
raspberryio,129,60,55,55,7,16.376829862594604
raspberryio,128,61,55,2,8,16.310683012008667
raspberryio,124,65,55,5,8,16.38291096687317
raspberryio,127,62,55,8,8,16.22087001800537
raspberryio,127,62,55,11,8,16.2520751953125
raspberryio,128,61,55,13,8,16.19725799560547
raspberryio,129,60,55,16,8,16.243804931640625
raspberryio,128,61,55,19,8,16.165030002593994
raspberryio,128,61,55,22,8,16.166567087173462
raspberryio,128,61,55,24,8,16.369039058685303
raspberryio,128,61,55,27,8,16.3050320148468
raspberryio,128,61,55,30,8,16.206233978271484
raspberryio,128,61,55,33,8,16.098865032196045
raspberryio,128,61,55,35,8,16.20087194442749
raspberryio,128,61,55,38,8,16.03061580657959
raspberryio,128,61,55,41,8,16.01349711418152
raspberryio,128,61,55,44,8,15.959654092788696
raspberryio,128,61,55,46,8,16.221450090408325
raspberryio,128,61,55,49,8,16.200478076934814
raspberryio,128,61,55,52,8,16.12160086631775
raspberryio,128,61,55,55,8,16.154980897903442
raspberryio,128,61,55,2,8,16.00494694709778
raspberryio,124,65,55,5,8,16.220271825790405
raspberryio,127,62,55,8,8,16.201714038848877
raspberryio,127,62,55,11,8,16.188204050064087
raspberryio,128,61,55,13,8,16.672870874404907
raspberryio,129,60,55,16,8,16.41895890235901
raspberryio,128,61,55,19,8,16.478044986724854
raspberryio,128,61,55,22,8,16.526036977767944
raspberryio,128,61,55,24,8,16.50329899787903
raspberryio,128,61,55,27,8,16.23232913017273
raspberryio,128,61,55,30,8,16.24519109725952
raspberryio,128,61,55,33,8,16.13351798057556
raspberryio,128,61,55,35,8,16.234204053878784
raspberryio,128,61,55,38,8,16.27004885673523
raspberryio,128,61,55,41,8,16.165523052215576
raspberryio,128,61,55,44,8,16.146646976470947
raspberryio,128,61,55,46,8,16.15956687927246
raspberryio,128,61,55,49,8,16.196151971817017
raspberryio,128,61,55,52,8,16.18131995201111
raspberryio,128,61,55,55,8,16.20047092437744
raspberryio,131,58,55,2,9,16.212175846099854
raspberryio,126,63,55,5,9,16.12675905227661
raspberryio,126,63,55,8,9,16.067586183547974
raspberryio,128,61,55,11,9,16.124408960342407
raspberryio,128,61,55,13,9,16.165648937225342
