repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto3,23,142,1,1,1,5.061760902404785
boto3,35,130,3,1,1,4.995121002197266
boto3,41,124,4,1,1,4.91841983795166
boto3,45,120,6,1,1,4.92546010017395
boto3,44,121,7,1,1,4.920801162719727
boto3,48,117,9,1,1,4.865769863128662
boto3,59,106,10,2,1,4.7280049324035645
boto3,74,91,12,2,1,4.551445007324219
boto3,67,98,14,2,1,4.63349986076355
boto3,77,88,15,3,1,4.539535999298096
boto3,78,87,17,3,1,4.490362882614136
boto3,73,92,18,3,1,4.582931041717529
boto3,83,82,20,4,2,4.4174230098724365
boto3,78,87,21,4,2,4.4762749671936035
boto3,78,87,23,4,2,4.517269849777222
boto3,80,85,24,4,2,4.507630109786987
boto3,85,80,26,5,2,4.426450967788696
boto3,86,79,28,5,2,4.4277260303497314
boto3,85,80,29,5,2,4.45083212852478
boto3,88,77,31,6,3,4.393959045410156
boto3,95,70,32,6,3,4.312862157821655
boto3,95,70,34,6,3,4.29016900062561
boto3,100,65,35,7,3,4.1781089305877686
boto3,93,72,37,7,3,4.324498891830444
boto3,95,70,39,7,3,4.317745923995972
boto3,101,64,40,8,4,4.16435694694519
boto3,101,64,42,8,4,4.2278831005096436
boto3,113,52,43,8,4,4.0370800495147705
boto3,105,60,45,9,4,4.186430931091309
boto3,108,57,46,9,4,4.152720928192139
boto3,108,57,48,9,4,4.167348861694336
boto3,107,58,49,9,4,4.156815052032471
boto3,112,53,51,10,5,4.094302177429199
boto3,117,48,53,10,5,4.0271430015563965
boto3,112,53,54,10,5,4.029781103134155
boto3,114,51,56,11,5,4.0635130405426025
boto3,115,50,57,11,5,4.0418641567230225
boto3,115,50,59,11,5,4.046814918518066
boto3,119,46,60,12,6,3.9742431640625
boto3,122,43,62,12,6,3.9662399291992188
boto3,123,42,63,12,6,3.947434186935425
boto3,119,46,65,13,6,4.0033299922943115
boto3,126,39,67,13,6,3.907925844192505
boto3,123,42,68,13,6,3.944521903991699
boto3,126,39,70,14,7,3.979185104370117
boto3,128,37,71,14,7,3.978487014770508
boto3,133,32,73,14,7,3.5851030349731445
boto3,130,35,74,14,7,3.8269388675689697
boto3,132,33,76,15,7,3.855952024459839
boto3,134,31,78,15,7,3.831496000289917
boto3,134,31,79,15,7,3.828685998916626
boto3,137,28,81,16,8,3.8056161403656006
boto3,136,29,82,16,8,3.8220601081848145
boto3,135,30,84,16,8,3.8199660778045654
boto3,137,28,85,17,8,3.7683839797973633
boto3,139,26,87,17,8,3.7332239151000977
boto3,140,25,88,17,8,3.725816011428833
boto3,141,24,90,18,9,3.725522994995117
boto3,140,25,92,18,9,3.83073091506958
boto3,135,30,93,18,9,3.7961881160736084
boto3,140,25,95,19,9,3.7535648345947266
boto3,141,24,96,19,9,3.7414278984069824
boto3,140,25,98,19,9,3.7647011280059814
boto3,143,22,99,19,9,3.6991519927978516
boto3,145,20,101,20,10,3.682996988296509
boto3,143,22,102,20,10,3.6925690174102783
boto3,146,19,104,20,10,3.6815059185028076
boto3,142,23,106,21,10,3.7303080558776855
boto3,138,27,107,21,10,3.797740936279297
boto3,143,22,109,21,10,3.7565391063690186
boto3,136,29,110,22,11,3.8131468296051025
boto3,141,24,112,22,11,3.76531720161438
boto3,141,24,113,22,11,3.767519950866699
boto3,140,25,115,23,11,3.782978057861328
boto3,140,25,117,23,11,3.7441399097442627
boto3,141,24,118,23,11,3.7587780952453613
boto3,142,23,120,24,12,3.7607619762420654
boto3,141,24,121,24,12,3.756136894226074
boto3,144,21,123,24,12,3.726572036743164
boto3,143,22,124,24,12,3.742919921875
boto3,150,15,126,25,12,3.5885679721832275
boto3,147,18,127,25,12,3.6499719619750977
boto3,148,17,129,25,12,3.6211228370666504
boto3,147,18,131,26,13,3.6554319858551025
boto3,147,18,132,26,13,3.6486079692840576
boto3,151,14,134,26,13,3.577739953994751
boto3,147,18,135,27,13,3.6621668338775635
boto3,151,14,137,27,13,3.581455945968628
boto3,150,15,138,27,13,3.6076669692993164
boto3,151,14,140,28,14,3.5983901023864746
boto3,148,17,141,28,14,3.6499531269073486
boto3,149,16,143,28,14,3.635849952697754
boto3,151,14,145,29,14,3.5779099464416504
boto3,150,15,146,29,14,3.6003799438476562
boto3,152,13,148,29,14,3.5942649841308594
boto3,151,14,149,29,14,3.5903818607330322
boto3,153,12,151,30,15,3.5873289108276367
boto3,152,13,152,30,15,3.5894649028778076
boto3,152,13,154,30,15,3.586130142211914
boto3,152,13,156,31,15,3.59564208984375
