repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto,1907,615,138,13,13,88.91126298904419
boto,1895,627,138,20,13,87.71372199058533
boto,1875,647,138,27,13,90.26795697212219
boto,1867,655,138,34,13,90.02246403694153
boto,1852,670,138,41,13,92.5213360786438
boto,1854,668,138,48,13,91.00447487831116
boto,1870,652,138,55,13,88.59806418418884
boto,1866,656,138,62,13,89.97190403938293
boto,1865,657,138,69,13,90.25019598007202
boto,1865,657,138,75,13,89.79372715950012
boto,1893,629,138,13,20,89.73582100868225
boto,1894,628,138,20,20,89.79624700546265
boto,1885,637,138,27,20,90.32013392448425
boto,1862,660,138,34,20,92.8200170993805
boto,1854,668,138,41,20,92.12846398353577
boto,1845,677,138,48,20,93.11055493354797
boto,1865,657,138,55,20,91.06071090698242
boto,1864,658,138,62,20,89.79800987243652
boto,1866,656,138,69,20,89.7179229259491
boto,1866,656,138,75,20,90.62559485435486
boto,1892,630,138,13,27,90.45759606361389
boto,1904,618,138,20,27,89.23352289199829
boto,1869,653,138,27,27,91.91134905815125
boto,1869,653,138,34,27,90.34700298309326
boto,1842,680,138,41,27,92.48284888267517
boto,1859,663,138,48,27,91.81598806381226
boto,1865,657,138,55,27,91.21608304977417
boto,1869,653,138,62,27,90.41241192817688
boto,1864,658,138,69,27,90.90432596206665
boto,1861,661,138,75,27,91.05543899536133
boto,1879,643,138,13,34,91.5934100151062
boto,1898,624,138,20,34,88.70517587661743
boto,1874,648,138,27,34,90.97647094726562
boto,1864,658,138,34,34,90.93367004394531
boto,1846,676,138,41,34,92.84541010856628
boto,1852,670,138,48,34,91.43501400947571
boto,1872,650,138,55,34,89.72709584236145
boto,1872,650,138,62,34,89.5881838798523
boto,1859,663,138,69,34,90.83207201957703
boto,1868,654,138,75,34,88.70017194747925
boto,1893,629,138,13,41,90.23228597640991
boto,1905,617,138,20,41,89.16428899765015
boto,1876,646,138,27,41,91.38246202468872
boto,1869,653,138,34,41,91.7682580947876
boto,1851,671,138,41,41,92.74473404884338
boto,1849,673,138,48,41,91.67468404769897
boto,1865,657,138,55,41,90.2871458530426
boto,1877,645,138,62,41,89.04240107536316
boto,1865,657,138,69,41,89.9110918045044
boto,1870,652,138,75,41,89.95508098602295
boto,1901,621,138,13,48,89.48778104782104
boto,1913,609,138,20,48,87.10972690582275
boto,1874,648,138,27,48,90.59023714065552
boto,1858,664,138,34,48,91.33848690986633
boto,1856,666,138,41,48,91.80720901489258
boto,1859,663,138,48,48,90.92581701278687
boto,1868,654,138,55,48,89.48644018173218
boto,1869,653,138,62,48,89.65268301963806
boto,1867,655,138,69,48,90.36513590812683
boto,1868,654,138,75,48,89.82515597343445
