repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto3,73,92,15,1,1,5.0278160572052
boto3,78,87,15,2,1,4.941829204559326
boto3,80,85,15,3,1,4.917484998703003
boto3,84,81,15,3,1,4.824279069900513
boto3,80,85,15,4,1,4.911406993865967
boto3,84,81,15,5,1,4.833742141723633
boto3,85,80,15,6,1,4.831975936889648
boto3,87,78,15,6,1,4.721883058547974
boto3,86,79,15,7,1,4.8238348960876465
boto3,91,74,15,8,1,4.841620922088623
boto3,72,93,15,1,2,4.968611001968384
boto3,81,84,15,2,2,4.858050107955933
boto3,82,83,15,3,2,4.807048797607422
boto3,85,80,15,3,2,4.91603684425354
boto3,91,74,15,4,2,4.793932914733887
boto3,87,78,15,5,2,4.888138055801392
boto3,91,74,15,6,2,4.8732569217681885
boto3,88,77,15,6,2,4.839161157608032
boto3,94,71,15,7,2,4.6753599643707275
boto3,92,73,15,8,2,4.746056079864502
boto3,80,85,15,1,3,4.842350006103516
boto3,83,82,15,2,3,4.965435981750488
boto3,80,85,15,3,3,4.935691833496094
boto3,82,83,15,3,3,4.8466198444366455
boto3,88,77,15,4,3,4.82493782043457
boto3,93,72,15,5,3,4.8022260665893555
boto3,98,67,15,6,3,4.73525595664978
boto3,96,69,15,6,3,4.815423011779785
boto3,92,73,15,7,3,4.822430849075317
boto3,93,72,15,8,3,4.839517116546631
boto3,78,87,15,1,3,4.997188091278076
boto3,85,80,15,2,3,4.87097692489624
boto3,85,80,15,3,3,4.861911058425903
boto3,74,91,15,3,3,5.0017409324646
boto3,90,75,15,4,3,4.734774827957153
boto3,93,72,15,5,3,4.721527099609375
boto3,94,71,15,6,3,4.676591873168945
boto3,88,77,15,6,3,4.873482942581177
boto3,96,69,15,7,3,4.620327949523926
boto3,98,67,15,8,3,4.746930122375488
boto3,90,75,15,1,4,4.694786071777344
boto3,86,79,15,2,4,4.833002090454102
boto3,77,88,15,3,4,4.8645079135894775
boto3,81,84,15,3,4,4.9707911014556885
boto3,92,73,15,4,4,4.709580898284912
boto3,101,64,15,5,4,4.624430894851685
boto3,97,68,15,6,4,4.705595970153809
boto3,91,74,15,6,4,4.7823851108551025
boto3,99,66,15,7,4,4.702701091766357
boto3,89,76,15,8,4,4.895369052886963
boto3,85,80,15,1,5,4.802869081497192
boto3,85,80,15,2,5,4.773822069168091
boto3,84,81,15,3,5,4.902378082275391
boto3,92,73,15,3,5,4.819024085998535
boto3,88,77,15,4,5,4.8554370403289795
boto3,90,75,15,5,5,4.794306993484497
boto3,99,66,15,6,5,4.699889898300171
boto3,99,66,15,6,5,4.56971001625061
boto3,99,66,15,7,5,4.562000036239624
boto3,98,67,15,8,5,4.675966024398804
