repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto,914,1607,9,1,1,138.60001516342163
boto,1298,1223,18,3,3,118.82389378547668
boto,1521,1000,27,5,5,108.85119009017944
boto,1673,848,36,7,7,99.34273290634155
boto,1781,740,46,9,9,94.7500650882721
boto,1854,667,55,11,11,91.65337300300598
boto,1916,605,64,12,12,87.09959387779236
boto,1975,546,73,14,14,83.04044008255005
boto,2016,505,82,16,16,80.37521386146545
boto,2067,454,92,18,18,77.34316420555115
boto,2108,413,101,20,20,75.60839581489563
boto,2137,384,110,22,22,73.74310898780823
boto,2169,352,119,23,23,72.36700105667114
boto,2192,329,128,25,25,71.5733859539032
boto,2214,307,138,27,27,69.84819889068604
boto,2228,293,147,29,29,69.24988198280334
boto,2247,274,156,31,31,68.66019988059998
boto,2255,266,165,33,33,67.55181694030762
boto,2268,253,174,34,34,66.83815217018127
boto,2291,230,184,36,36,65.77209496498108
boto,2301,220,193,38,38,65.31971001625061
boto,2312,209,202,40,40,64.85371494293213
boto,2329,192,211,42,42,63.8222930431366
boto,2340,181,221,44,44,63.58275318145752
boto,2352,169,230,46,46,62.72511291503906
boto,2355,166,239,47,47,62.80595397949219
boto,2363,158,248,49,49,62.28287220001221
boto,2372,149,257,51,51,62.05453586578369
boto,2377,144,267,53,53,61.84477496147156
boto,2390,131,276,55,55,61.43452715873718
boto,2398,123,285,57,57,60.91061520576477
boto,2407,114,294,58,58,60.34905815124512
boto,2411,110,303,60,60,60.22798705101013
boto,2422,99,313,62,62,59.51978802680969
boto,2426,95,322,64,64,59.3860239982605
boto,2431,90,331,66,66,59.268858909606934
boto,2436,85,340,68,68,59.14631509780884
boto,2438,83,349,69,69,59.11337399482727
boto,2443,78,359,71,71,58.72957420349121
boto,2447,74,368,73,73,58.422916889190674
boto,2455,66,377,75,75,58.12545704841614
boto,2460,61,386,77,77,57.95649003982544
boto,2462,59,396,79,79,57.66281008720398
boto,2464,57,405,81,81,57.49470615386963
boto,2468,53,414,82,82,57.28144598007202
boto,2474,47,423,84,84,57.12144494056702
boto,2474,47,432,86,86,57.06938290596008
boto,2476,45,442,88,88,57.03340983390808
boto,2479,42,451,90,90,56.76339888572693
boto,2479,42,460,92,92,56.78944182395935
boto,2482,39,469,93,93,56.5561420917511
boto,2488,33,478,95,95,56.536561012268066
boto,2489,32,488,97,97,56.634618043899536
boto,2493,28,497,99,99,56.28764200210571
boto,2493,28,506,101,101,56.32790207862854
boto,2494,27,515,103,103,56.2195770740509
boto,2494,27,524,104,104,56.12986207008362
boto,2495,26,534,106,106,56.19982194900513
boto,2499,22,543,108,108,56.077880859375
boto,2499,22,552,110,110,56.093616008758545
boto,2501,20,561,112,112,55.791576862335205
boto,2502,19,571,114,114,55.8944878578186
boto,2502,19,580,116,116,55.871788024902344
boto,2503,18,589,117,117,55.90799593925476
boto,2504,17,598,119,119,55.59421396255493
boto,2505,16,607,121,121,55.42402911186218
boto,2505,16,617,123,123,55.66703200340271
boto,2505,16,626,125,125,55.83215379714966
boto,2506,15,635,127,127,55.65045499801636
boto,2508,13,644,128,128,55.314286947250366
boto,2508,13,653,130,130,55.39084482192993
boto,2508,13,663,132,132,55.49866485595703
boto,2510,11,672,134,134,55.13869118690491
boto,2511,10,681,136,136,55.157023906707764
boto,2512,9,690,138,138,55.36755108833313
boto,2513,8,699,139,139,55.283366203308105
boto,2514,7,709,141,141,55.17013907432556
boto,2516,5,718,143,143,55.0835440158844
boto,2517,4,727,145,145,54.89641284942627
boto,2517,4,736,147,147,55.22143912315369
boto,2517,4,746,149,149,55.08830690383911
boto,2517,4,755,151,151,55.135952949523926
boto,2519,2,764,152,152,54.913321018218994
boto,2519,2,773,154,154,54.978867053985596
boto,2520,1,782,156,156,54.58390688896179
boto,2520,1,792,158,158,54.833616971969604
boto,2521,0,801,160,160,54.69405698776245
boto,2521,0,810,162,162,54.73957896232605
boto,2521,0,819,163,163,54.78898501396179
boto,2521,0,828,165,165,54.70808506011963
boto,2521,0,838,167,167,54.677124977111816
boto,2521,0,847,169,169,54.851521015167236
boto,2521,0,856,171,171,54.73262095451355
boto,2521,0,865,173,173,54.859572887420654
boto,2521,0,874,174,174,54.78896903991699
boto,2521,0,884,176,176,54.46577215194702
boto,2521,0,893,178,178,54.60413718223572
boto,2521,0,902,180,180,54.61056709289551
boto,2521,0,911,182,182,54.63940405845642
boto,2521,0,921,184,184,54.78259086608887
