counter,true_positive,false_positive,true_negative,false_negative
1,0,1,0,0
2,0,1,0,0
3,0,2,0,0
4,0,2,0,0
5,0,9,6,0
6,0,9,7,0
7,0,9,7,0
8,0,9,8,0
9,2,8,8,1
10,2,8,8,1
11,2,11,8,1
12,2,12,8,1
13,2,12,8,1
14,2,12,8,1
15,3,12,8,1
16,3,12,8,1
17,3,13,8,1
18,3,14,8,1
19,3,14,8,1
20,3,14,8,2
21,3,14,8,2
22,3,14,8,2
23,3,14,8,2
24,3,15,8,2
25,3,16,8,2
26,3,16,8,2
27,3,16,10,2
28,3,17,10,2
29,3,17,11,2
30,3,17,10,3
31,3,18,11,3
32,3,19,11,3
33,3,19,11,3
34,3,19,11,3
35,4,18,11,3
36,5,17,10,4
37,5,18,10,4
38,5,18,10,4
39,5,18,10,4
40,5,18,10,4
41,5,18,10,4
42,5,18,10,4
43,5,18,10,4
44,5,18,10,4
45,5,18,11,4
46,5,18,11,4
47,5,18,11,4
48,6,17,11,4
49,7,17,11,4
50,7,17,11,4
51,7,17,11,4
52,7,17,11,4
53,7,17,11,4
54,7,17,11,4
55,7,17,11,4
56,7,17,11,4
57,7,17,11,4
58,8,16,10,5
59,8,16,11,5
60,10,14,10,6
61,13,12,10,6
62,13,12,11,6
63,14,11,11,6
64,14,11,10,7
65,14,11,10,7
66,14,11,10,7
67,14,11,11,7
68,14,11,11,7
