counter,true_positive,false_positive,true_negative,false_negative
1,0,1,0,0
2,0,2,0,0
3,0,4,0,0
4,0,6,0,0
5,0,6,0,0
6,0,6,1,0
7,0,7,1,0
8,0,7,1,0
9,0,7,1,0
10,0,7,2,0
11,0,8,2,0
12,0,8,3,0
13,0,8,3,0
14,0,9,3,0
15,0,9,3,0
16,0,21,3,0
17,0,21,3,0
18,0,21,3,0
19,0,23,4,0
20,0,23,4,0
21,0,25,4,0
22,0,27,4,0
23,0,27,4,0
24,0,27,4,0
25,4,23,4,0
26,5,22,4,0
27,5,22,4,0
28,5,22,4,0
29,5,22,5,0
30,5,22,5,0
31,5,22,4,1
32,5,27,7,1
33,5,27,8,1
34,12,20,4,5
35,12,20,4,5
36,12,22,4,5
37,12,22,4,5
38,13,21,3,6
39,13,21,4,6
40,13,21,5,6
41,13,21,7,6
42,13,21,7,6
43,13,21,8,6
44,13,21,9,6
45,13,21,9,6
46,13,21,11,6
47,13,21,11,6
48,13,21,11,6
49,13,21,11,6
50,14,20,11,6
51,14,20,11,6
52,14,20,11,6
53,14,20,11,6
54,14,20,11,6
55,14,20,11,6
56,14,20,11,6
57,14,20,11,6
58,14,20,11,6
59,14,20,11,6
60,14,20,11,6
61,14,20,11,6
62,14,20,11,6
