counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
1,1,0,0,0,1,830a52683eae75bba8fec49d6f54fbce412da693
4,2,1,1,0,4,d158cfda9c9b129b661883d636b48cf549ec8933
5,2,1,1,0,4,94f1e03a4fea0b7b1ff97869a85ad063ad551ae3
10,2,3,6,1,12,18894d2f50c8e0ed5b1a8a07ed1574877e828b8a
11,3,3,4,3,13,2329cffb4362ca30366273de1fc193fc45633b76
12,3,3,4,5,15,d2c359198b71a589f7278b450164373e6ad6b6e1
14,3,3,4,5,15,91616a3075811321b00a76118ba87303c8d3e019
17,3,3,6,7,19,249fd95d1f837cb9a694fac03c4325c27b8301a4
20,3,3,7,7,20,035bbed784daeaed3a845a679cfef8d1e0daffdd
23,4,4,17,7,32,cb05c495509ae406b18d17e9fceac8878463132a
24,4,4,17,10,35,292ba42386036c340e24b48c3dec3dee29398dc2
25,4,4,17,10,35,1939efe13f3792116181d8e320107054eebb9799
28,4,5,18,10,37,e2a20c6743f020e5ce5c7fffc3c67915c621fd3b
29,4,5,18,11,38,b49b7ba28e985f5bc0c5a8d2cae7314db192a041
30,5,5,18,11,39,82b79e3e06f215e7bc13a958c956944c1dc45e50
31,5,5,18,11,39,35aa86d0ce7cae8b18922b382c2b6e683698a520
33,6,5,18,11,40,5e2b6b273572c9d066ab83c2e6a0c28ba402640a
38,6,13,74,11,104,d4c6645d29125e86184b6573a76b6c40920e8e7c
40,6,13,74,13,106,c917c78fd100e1d4db5fc5b488410a5741eeb46b
43,7,13,76,14,110,f8514a0d5984230c5044c8bbca67ea283f64a914
44,8,12,76,14,110,0c11983f083d69c0bff2a7a4f6f092618ddfc925
45,8,12,75,15,110,cf3c762bffbc2e86ee91ed2034d0df9deb0c4b11
47,8,12,76,16,112,7dc6e97f2447097a4539e181945cb2a4c421efe5
48,8,12,76,17,113,ded831b5104dcc145da51f9d9126925c5b821912
50,8,14,78,17,117,205fb6c9a5f74b0673c80163270c8269db7822d9
55,8,15,79,19,121,e2b8f02cf8545f61cb950f4a7b333fb4ac7d5ffc
57,8,15,79,20,122,59ad5e21953a6d591f82def11aebd64808ab9559
61,8,18,86,20,132,88b3ef20689a9ceefc06789e1a2e729aeb4aef5d
62,8,18,85,21,132,ca0a07f4b1b4da86e87f1839e48b9eef450f1795
68,8,19,86,28,141,bc126afdb651e50a54ed4ac0f0ca9e6729044d54
72,9,18,86,28,141,a14767c4d14cb43ba66f9c85b414401a49a23060
75,9,18,87,28,142,36f9e01ec1aafc1ba3412f3845a63b91ee73fcde
80,9,18,90,29,146,9bf390cbd5e1d7a9d234921f8b5fdfbac2648075
83,9,18,92,30,149,d4d03cc24361ef865af7990c8169d5032e3fff51
84,10,18,92,30,150,43f01191f23593d01ffe78a19ad44d8dbe051177
87,10,18,92,30,150,b161f611081e9dc4369d53cc12957137fe6a9579
88,10,18,91,31,150,d358ee4254f48031d7109dbba09df363e212523f
90,11,18,91,31,151,ce6adedfba201311b0d6b45ab7c9ec9cd3a5a7c3
91,12,17,91,33,153,e57b7fc31ae237df5439459d602651ed3cc10557
98,12,18,98,35,163,33d82c59d1711cafd9ffddb55e3c3062e2f528cc
104,12,18,104,36,170,a977445fea0feb745166e7c4238cb1853db642f9
107,12,18,105,37,172,45bf3d0683bc3a0b9b87709ee09e39467bf53eb1
110,12,18,108,37,175,31fbd86172befcedb5acaebb5486822a8951a3db
115,12,18,108,37,175,258986e20a5143cdaab25ac1a9173f1648f97ac2
