repo_dir,hits,misses,cache_size,dtf,pfs,ttr
django,13176,28380,54,5,8,53524.934804201126
django,18479,23077,108,10,16,45925.29252696037
django,22218,19338,162,16,24,40331.90454697609
django,24821,16735,217,21,32,36419.44869208336
django,27038,14518,271,27,40,33005.34696292877
django,28749,12807,325,32,48,30688.460211992264
django,30228,11328,380,38,57,28393.062299013138
django,31332,10224,434,43,65,26379.63782095909
django,32290,9266,488,48,73,24885.496395111084
django,33127,8429,543,54,81,23722.285373210907
django,33921,7635,597,59,89,22376.5008559227
django,34599,6957,651,65,97,21317.995429039
django,35089,6467,705,70,105,20660.704283952713
django,35601,5955,760,76,114,19944.47921895981
django,36035,5521,814,81,122,19285.905527114868
django,36448,5108,868,86,130,18609.413303136826
django,36830,4726,923,92,138,17974.896356105804
django,37167,4389,977,97,146,17440.558303833008
django,37468,4088,1031,103,154,16995.147115945816
django,37711,3845,1086,108,162,16622.369542121887
django,37987,3569,1140,114,171,16336.599051952362
django,38195,3361,1194,119,179,15974.009871006012
django,38364,3192,1248,124,187,15681.901268959045
django,38570,2986,1303,130,195,15459.941586971283
django,38725,2831,1357,135,203,15062.202871084213
django,38842,2714,1411,141,211,14919.724312067032
django,38975,2581,1466,146,219,14675.498450040817
django,39098,2458,1520,152,228,14444.379982948303
django,39194,2362,1574,157,236,14349.406715869904
django,39284,2272,1629,162,244,14189.149204969406
django,39434,2122,1683,168,252,13948.029312133789
django,39460,2096,1737,173,260,13938.514059782028
django,39544,2012,1791,179,268,13793.670393943787
django,39595,1961,1846,184,276,13725.58571600914
django,39658,1898,1900,190,285,13582.300431013107
django,39704,1852,1954,195,293,13529.674299955368
django,39752,1804,2009,200,301,13422.554816961288
django,39804,1752,2063,206,309,13358.162265062332
django,39847,1709,2117,211,317,13282.467132091522
django,39846,1710,2172,217,325,13267.924657821655
django,39927,1629,2226,222,333,13144.380259990692
django,39959,1597,2280,228,342,13156.678519010544
django,39994,1562,2334,233,350,12991.504531860352
django,40046,1510,2389,238,358,13059.70132613182
django,40084,1472,2443,244,366,12883.053534030914
django,40157,1399,2497,249,374,12790.312860012054
django,40214,1342,2552,255,382,12683.985175848007
django,40248,1308,2606,260,390,12736.348651885986
django,40318,1238,2660,266,399,12542.062985897064
django,40404,1152,2715,271,407,12415.06198310852
django,40463,1093,2769,276,415,12299.9224319458
django,40506,1050,2823,282,423,12269.086794137955
django,40512,1044,2877,287,431,12322.681103944778
django,40582,974,2932,293,439,12225.396936893463
django,40606,950,2986,298,447,12086.64633011818
django,40630,926,3040,304,456,12071.526243925095
django,40684,872,3095,309,464,11977.156117916107
django,40739,817,3149,314,472,11926.15046095848
django,40774,782,3203,320,480,11968.83018398285
django,40816,740,3258,325,488,11826.806497812271
django,40850,706,3312,331,496,11736.873493909836
django,40890,666,3366,336,504,11730.02060008049
django,40923,633,3420,342,513,11656.458859920502
django,40966,590,3475,347,521,11687.787720918655
django,41035,521,3529,352,529,11468.716324090958
django,41105,451,3583,358,537,11371.568966150284
django,41153,403,3638,363,545,11287.69852399826
django,41207,349,3692,369,553,11164.892564058304
django,41250,306,3746,374,561,11090.894056081772
django,41294,262,3800,380,570,11025.366482973099
django,41334,222,3855,385,578,10980.547481060028
django,41359,197,3909,390,586,10954.07606101036
django,41390,166,3963,396,594,10872.236005067825
django,41413,143,4018,401,602,10872.524749994278
django,41431,125,4072,407,610,10818.372171163559
django,41444,112,4126,412,618,10790.204920053482
django,41456,100,4181,418,627,10810.276237010956
django,41466,90,4235,423,635,6903.326946020126
django,41477,79,4289,428,643,6546.367675065994
django,41481,75,4344,434,651,6543.065322875977
django,41488,68,4398,439,659,6591.448552846909
django,41501,55,4452,
