counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
2,2,0,1,0,3,4e8b167e4d0817b6ae93be8ad97b31bf203698d8
3,4,0,1,2,7,08572e8d125da204fab230be5d1fdcc5d8d22256
4,4,0,1,3,8,fea45eff5a2f2ad10b2788603db80e5a4fe6be06
5,5,0,1,3,9,80be597a7b2530ec0893e1d9ee8275e281f026dc
6,5,0,1,3,9,8ca35d7c6a639933927f45b439363a1614da56f1
7,9,0,1,4,14,358850781f8fd3d79aba5b1a9a0b8d28f544bf8a
8,10,0,1,4,15,a40a34a4b2d79dbf798df538c26222148d42b17c
9,10,0,1,5,16,6b28e957df364532109a1897c73a1fa8b1416bd4
11,15,1,1,5,22,70123cf084e3af7dfc61bb7bd2090ff802c3cda4
12,15,1,1,7,24,a9e29fae105d1ddd4e0ac2059cbe62b0ee348bc8
14,15,2,1,8,26,36a17be9f3cf6081f7e6f83fcfeae3d09ce8a72b
16,27,3,1,64,95,39a7eed1bbf12020a077e4bec3d82e08f171a021
17,28,3,1,64,96,767c33d1fa9827908192e8ed1ac7f281f56bd811
18,32,3,1,64,100,8714403614c4dfa37e806db4a6708b8a91a827a4
20,34,3,1,72,110,d61ebc8fed212366340b1ed6f5d7722613801459
21,34,3,1,73,111,9a4a9a8a49ed3e38f3038b8d6fc7c405256271f1
22,34,3,1,73,111,fb7d681705a92c6d510b06822450d6a94ed1623f
24,37,3,2,76,118,668d53cd125175eb708cc0af143f47b42cd42153
25,37,3,2,76,118,82f7bee1d56e1bf8ae041c6cdeb7374ea6b844de
26,39,3,2,76,120,ceaf31adfff3801f1092a215f73704e15a70e90c
27,40,3,2,77,122,ec808e807ad711b993f199f6b4165ac6d0e1125b
28,40,3,2,79,124,88c605e3e34cebd5485d286a17ac84c7b8b0faf1
29,43,3,2,80,128,c36b60836be9e78ab877566cc43dc03960ce944d
30,45,3,2,80,130,f4f0060feaee6bbd76a0d575487682bc541111e4
33,46,3,3,81,133,87d78241a2fc85e5715fb51c554fe06e91deee58
35,46,4,8,81,139,866e71140f9612e45087b8acafefa2e51ffc4a29
36,48,4,8,81,141,888c9b6429a44824078a49fb1ebacf2e950cd887
37,49,4,8,82,143,a5b225084f69e27b78fab0f2954fa9520656976e
38,50,4,8,83,145,336512fae77ec214ad6db24166b9a8676007cc09
39,50,4,8,84,146,794c3f74c32062d0f2ad021cb2af0e530b40730d
40,54,4,8,84,150,e272904ff7cc4d138e316ba2e7811666053860a4
41,54,4,7,85,150,eb9b7abb833a6d317e355265552d47e0d8f24af8
43,55,5,7,87,154,fb146193c49e4c683dc8da39d9b7c479375fdb57
44,58,4,7,93,162,fa350e2f303572ee8f9a8302dda45a12288d3d95
46,60,4,7,93,164,82c9169077a066995e3b00aac551bf1c8a89d98a
48,60,5,7,95,167,df193b3cefda982dfcd4813bf4e2ac09b1358f21
50,60,5,8,95,168,756cee46d25a52108fd7190f787a7e636962df5d
51,61,5,8,95,169,b9b8411129efe13642cef1fc6bbfc62bed717352
54,62,6,8,98,174,f66c2bdc0f056ffcbf6df121ea9132aaa0c4cadb
58,62,6,11,98,177,7b1a67cce52e5c191fbfa1bca501c6f0222db019
59,62,6,11,98,177,3ed9c7bdfe9f40d31dadb6734a5692c8b9d6d6dc
62,62,9,11,99,181,a3e89f13dfb1f22a26ead8b06b37695598a4421a
63,63,9,11,99,182,ccff08c194b0b7f8a86bf9c5dd6d5be473760a1b
64,63,9,11,99,182,389baccac5fce72c67cfed7a6ebcf9273edf9282
67,64,10,11,99,184,28e8c54d7d2800a8ac98cf646a9e074055bc1b1b
68,65,10,11,100,186,8a481498aa995b435d8c3a0c90d7d917046f59b3
70,66,10,12,102,190,f0f5212624d7a3edbf77126e0a3060d38db501e1
71,66,10,12,103,191,b4d8b16e5109170614ba505e36f60c2ad64dafc2
72,66,10,12,103,191,e4a578e70e2e48ab792e38c67579808a1def6024
73,66,10,12,103,191,c9f1a12925ef18d82b5f9683d589bb2c1e067650
76,66,10,12,103,191,a535e4acdcf1e75cc4d6302726876efc4c3a91c9
78,67,10,12,104,193,d861f95c445652e4269c9015836d14dcf8b9a587
81,67,10,12,104,193,f6b09a7f85c3b67b2011553838b079788c413432
83,69,10,12,108,199,aa5ab114e34645823b219f9a866fd82fc26b427b
84,69,10,12,109,200,d8de9a64d70f4bef7a223da1559638699a7a3923
85,70,10,12,110,202,5993b52e6d9db00259fd5a186b3c3df767fe94e2
86,71,10,12,110,203,b089759d6025582f36fbea3c4be3855c50b82462
87,72,10,12,110,204,e8a758e941bb36f69b6224b73b00b9d6a814bbdc
88,72,10,12,110,204,b9d9ab23bdcc404708aada664e718a9d56415ca3
90,75,11,13,110,209,34fb909180e9df06fa6a993dd5696a49cd152a0b
91,75,11,13,113,212,21ffbb06ec9eb741f62ac51abab4b722fb91b9bc
92,76,11,13,113,213,ae87ad005f7b62f5fa5a29ef07443fa1bbb9baf0
93,77,10,13,113,213,8414fcf16b9cfa8d989db913f0961fc4ce18c71b
96,80,12,13,114,219,28986da4ca167ae257abcaf7caea230eca2bcd80
98,81,13,13,114,221,820381d38bc02ea8b92837ce869e7332a7db9913
99,82,13,13,115,223,0ed20d5cc4bf94646ffd4e4fcbd963b9916039cd
101,85,12,13,115,225,388e79e9fcbf689d5708134534e55d176cfbcee3
102,87,12,13,115,227,818182b514d1c6b379130c440689355b4d231d49
103,87,12,13,115,227,8758a63ddbbf7a2626bd84d50cfe83b477e8de0a
104,87,12,12,122,233,f269c1d6f6dcc22c0a781f3223c6da0a4483b06e
105,87,12,12,122,233,b9cb81570e24284156e09ab1fdc3c19a8d563b07
106,89,12,12,124,237,81c2d9f60b9206c1291e5b1c3c8686f24a7726e1
107,89,12,12,124,237,ff2aa4019259947734c4791d6afc9f5405d901d0
108,92,12,12,124,240,88d798d71a20662bdf5335f0586fb9eb6e660c57
109,92,12,12,124,240,71c638fc55d5b0637e0c50a71694f3e422caa0c1
111,93,11,13,124,241,c5c8751147d41913a05e86097ea29ccc9fc2e5be
116,94,12,165,125,396,6bff3439894ac22d80f270f36513fc86586273f3
117,95,12,165,126,398,0339844b70895d6162b4595ae615e6edf843c6cd
118,101,12,165,132,410,a0c2eb46dd5a782c11c44f13c8efad2778be1641
119,101,12,165,133,411,b4a56ed4f55502239cb11b57f0fa75baa0a97640
120,104,12,165,137,418,65129aac07022f23afa1df7ec7fad2216634cb38
121,104,12,165,137,418,02d78bb1a80706d941ffc6c892cc75208eb6b782
122,106,12,165,142,425,81e1a35c364e5353d2bf99368ad30a4184fbb653
124,107,12,165,142,426,1c83fc88d6928a5ab53bc3dde79dad3cc0bfcfdc
125,109,12,165,142,428,011a54315e46acdf288003566b8570440f5ac985
128,109,12,165,142,428,35b3158d52a5fe51d3b52aec1109a30a73c5abe9
129,109,12,165,143,429,eb5ebcc2d0b13737127e3478bced98a84962a5d0
130,115,12,165,145,437,55f12f8709f0604df7e1817a4c114ead1fb9a311
131,116,11,165,145,437,d898ba1bec588450d591ebd5076993f96d05eb24
132,116,11,165,145,437,8219eabbba6e8f6d8569792615935011b5cf0771
135,116,11,165,145,437,0d9b018e07c384314e142372153eb670c2e129f3
137,116,11,165,146,438,556eb6770146f26a7f01f786034d8b3ec879ed05
138,116,11,165,146,438,6bb2175ed65456dda2f8ba584f206ba4bbd43dbc
140,116,11,165,147,439,6770b7ecd208a0746f181e54202fb829460c6490
142,116,11,165,147,439,aea02ddfb7c610db9a7cb291b113d6e561d8eba9
143,116,11,165,147,439,9e83f30cd318693995decebdc68433853e93a6bb
