repo_dir,hits,misses,cache_size,dtf,pfs,ttr
facebook-sdk,43,11,6,1,1,2.8407859802246094
facebook-sdk,42,12,6,1,1,2.9303581714630127
facebook-sdk,42,12,6,1,1,2.9301249980926514
facebook-sdk,43,11,6,1,1,2.746756076812744
facebook-sdk,42,12,6,1,1,2.833364963531494
facebook-sdk,43,11,6,2,1,2.788949966430664
facebook-sdk,43,11,6,2,1,2.9020211696624756
facebook-sdk,42,12,6,2,1,2.809952974319458
facebook-sdk,42,12,6,3,1,2.9334168434143066
facebook-sdk,42,12,6,3,1,2.8825972080230713
facebook-sdk,42,12,6,1,1,2.857760190963745
facebook-sdk,42,12,6,1,1,2.831702947616577
facebook-sdk,42,12,6,1,1,2.8476829528808594
facebook-sdk,42,12,6,1,1,2.8575539588928223
facebook-sdk,42,12,6,1,1,2.81364107131958
facebook-sdk,42,12,6,2,1,2.8777430057525635
facebook-sdk,42,12,6,2,1,2.9813649654388428
facebook-sdk,42,12,6,2,1,3.023371934890747
facebook-sdk,43,11,6,3,1,2.9581809043884277
facebook-sdk,42,12,6,3,1,2.976428985595703
facebook-sdk,42,12,6,1,1,2.8672990798950195
facebook-sdk,42,12,6,1,1,2.8768668174743652
facebook-sdk,43,11,6,1,1,2.8671441078186035
facebook-sdk,43,11,6,1,1,2.8476409912109375
facebook-sdk,42,12,6,1,1,2.857240915298462
facebook-sdk,41,13,6,2,1,3.0201079845428467
facebook-sdk,43,11,6,2,1,2.9067351818084717
facebook-sdk,42,12,6,2,1,2.9830257892608643
facebook-sdk,42,12,6,3,1,2.9336049556732178
facebook-sdk,42,12,6,3,1,2.9375579357147217
facebook-sdk,42,12,6,1,1,2.8041460514068604
facebook-sdk,42,12,6,1,1,2.8384299278259277
facebook-sdk,43,11,6,1,1,2.830348014831543
facebook-sdk,42,12,6,1,1,2.8568289279937744
facebook-sdk,42,12,6,1,1,2.8271381855010986
facebook-sdk,43,11,6,2,1,2.8699889183044434
facebook-sdk,42,12,6,2,1,2.895311117172241
facebook-sdk,42,12,6,2,1,2.886461019515991
facebook-sdk,42,12,6,3,1,2.936739206314087
facebook-sdk,44,10,6,3,1,2.7361538410186768
facebook-sdk,42,12,6,1,1,2.7821202278137207
facebook-sdk,42,12,6,1,1,2.8632359504699707
facebook-sdk,42,12,6,1,1,2.8785560131073
facebook-sdk,42,12,6,1,1,2.847306966781616
facebook-sdk,42,12,6,1,1,2.909548044204712
facebook-sdk,42,12,6,2,1,2.961712121963501
facebook-sdk,43,11,6,2,1,2.830336809158325
facebook-sdk,42,12,6,2,1,2.916923999786377
facebook-sdk,44,10,6,3,1,2.850313186645508
facebook-sdk,44,10,6,3,1,2.7588560581207275
facebook-sdk,42,12,6,1,2,2.883090019226074
facebook-sdk,43,11,6,1,2,2.8521878719329834
facebook-sdk,43,11,6,1,2,2.802846908569336
facebook-sdk,43,11,6,1,2,2.842947006225586
facebook-sdk,44,10,6,1,2,2.7038040161132812
facebook-sdk,43,11,6,2,2,2.8443357944488525
facebook-sdk,43,11,6,2,2,2.867053985595703
facebook-sdk,43,11,6,2,2,2.8676869869232178
facebook-sdk,43,11,6,3,2,2.860538959503174
facebook-sdk,43,11,6,3,2,2.9377479553222656
