repo_dir,hits,misses,cache_size,dtf,pfs,ttr
facebook-sdk,23,31,1,1,1,1.5911498069763184
facebook-sdk,23,31,1,1,1,1.5182371139526367
facebook-sdk,23,31,1,1,1,1.5235579013824463
facebook-sdk,23,31,1,1,1,1.5476281642913818
facebook-sdk,23,31,1,1,1,1.6110270023345947
facebook-sdk,24,30,1,1,1,1.5968620777130127
facebook-sdk,31,23,2,1,1,1.408301830291748
facebook-sdk,30,24,2,1,1,1.4635021686553955
facebook-sdk,31,23,2,1,1,1.394252061843872
facebook-sdk,36,18,3,1,1,1.3254179954528809
facebook-sdk,35,19,3,1,1,1.3158249855041504
facebook-sdk,35,19,3,1,1,1.3223438262939453
facebook-sdk,35,19,4,1,1,1.2560350894927979
facebook-sdk,38,16,4,1,1,1.2698259353637695
facebook-sdk,36,18,4,1,1,1.2485730648040771
facebook-sdk,39,15,5,1,1,1.221283197402954
facebook-sdk,38,16,5,1,1,1.2317249774932861
facebook-sdk,38,16,5,1,1,1.2776780128479004
facebook-sdk,42,12,6,1,1,1.2023470401763916
facebook-sdk,43,11,6,1,1,1.1522769927978516
facebook-sdk,43,11,6,1,1,1.1746258735656738
facebook-sdk,42,12,7,1,1,1.1829538345336914
facebook-sdk,42,12,7,1,1,1.2058539390563965
facebook-sdk,42,12,7,1,1,1.2139091491699219
facebook-sdk,44,10,8,1,1,1.2120211124420166
facebook-sdk,45,9,8,1,1,1.1319658756256104
facebook-sdk,44,10,8,1,1,1.1411011219024658
facebook-sdk,44,10,8,1,1,1.1381480693817139
facebook-sdk,46,8,9,1,1,1.1928930282592773
facebook-sdk,46,8,9,1,1,1.1742420196533203
facebook-sdk,46,8,9,1,1,1.1301889419555664
facebook-sdk,48,6,10,1,1,1.1107978820800781
facebook-sdk,48,6,10,1,1,1.1070849895477295
facebook-sdk,48,6,10,1,1,1.1213929653167725
facebook-sdk,48,6,11,1,1,1.1448521614074707
facebook-sdk,48,6,11,1,1,1.115670919418335
facebook-sdk,48,6,11,1,1,1.1438021659851074
facebook-sdk,49,5,12,1,1,1.1247599124908447
facebook-sdk,49,5,12,1,1,1.1093330383300781
facebook-sdk,49,5,12,1,1,1.112267017364502
facebook-sdk,49,5,13,1,1,1.1111040115356445
facebook-sdk,49,5,13,1,1,1.1244938373565674
facebook-sdk,49,5,13,1,1,1.1326019763946533
facebook-sdk,49,5,14,1,1,1.1144800186157227
facebook-sdk,49,5,14,1,1,1.1223509311676025
facebook-sdk,49,5,14,1,1,1.1191039085388184
facebook-sdk,49,5,15,1,1,1.12037992477417
facebook-sdk,49,5,15,1,1,1.0863749980926514
facebook-sdk,49,5,15,1,1,1.1308650970458984
facebook-sdk,51,3,16,1,1,1.0950860977172852
facebook-sdk,51,3,16,1,1,1.1400940418243408
facebook-sdk,51,3,16,1,1,1.0789129734039307
facebook-sdk,51,3,16,1,1,1.0954358577728271
facebook-sdk,51,3,17,1,1,1.100389003753662
facebook-sdk,51,3,17,1,1,1.093130111694336
facebook-sdk,51,3,17,1,1,1.132978916168213
facebook-sdk,51,3,18,1,1,1.1065449714660645
facebook-sdk,51,3,18,1,1,1.1217479705810547
facebook-sdk,51,3,18,1,1,1.1002349853515625
facebook-sdk,51,3,19,1,1,1.1181199550628662
facebook-sdk,51,3,19,1,1,1.1012117862701416
facebook-sdk,51,3,19,1,1,1.1254379749298096
facebook-sdk,53,1,20,2,2,1.0872960090637207
facebook-sdk,53,1,20,2,2,1.0564680099487305
facebook-sdk,53,1,20,2,2,1.0434019565582275
facebook-sdk,53,1,21,2,2,1.0920250415802002
facebook-sdk,53,1,21,2,2,1.0998709201812744
facebook-sdk,53,1,21,2,2,1.0893888473510742
facebook-sdk,53,1,22,2,2,1.1126179695129395
facebook-sdk,53,1,22,2,2,1.0791020393371582
facebook-sdk,53,1,22,2,2,1.0874850749969482
facebook-sdk,53,1,23,2,2,1.109508991241455
facebook-sdk,53,1,23,2,2,1.0603649616241455
facebook-sdk,53,1,23,2,2,1.0962951183319092
facebook-sdk,53,1,24,2,2,1.124413013458252
facebook-sdk,53,1,24,2,2,1.1027178764343262
facebook-sdk,53,1,24,2,2,1.0520210266113281
facebook-sdk,53,1,24,2,2,1.0922088623046875
facebook-sdk,53,1,25,2,2,1.0923030376434326
facebook-sdk,53,1,25,2,2,1.1073410511016846
facebook-sdk,53,1,25,2,2,1.0993409156799316
facebook-sdk,53,1,26,2,2,1.043626070022583
facebook-sdk,53,1,26,2,2,1.0526061058044434
facebook-sdk,53,1,26,2,2,1.1045329570770264
facebook-sdk,53,1,27,2,2,1.068436861038208
facebook-sdk,53,1,27,2,2,1.1033449172973633
facebook-sdk,53,1,27,2,2,1.079984188079834
facebook-sdk,53,1,28,2,2,1.1150929927825928
facebook-sdk,53,1,28,2,2,1.072601079940796
facebook-sdk,53,1,28,2,2,1.2025158405303955
facebook-sdk,53,1,29,2,2,1.1851820945739746
facebook-sdk,53,1,29,2,2,1.17706298828125
facebook-sdk,53,1,29,2,2,1.18333101272583
facebook-sdk,53,1,30,3,3,1.1274058818817139
facebook-sdk,53,1,30,3,3,1.1572649478912354
facebook-sdk,53,1,30,3,3,1.1200790405273438
facebook-sdk,53,1,31,3,3,1.1429009437561035
facebook-sdk,53,1,31,3,3,1.1276040077209473
facebook-sdk,53,1,31,3,3,1.165930986404419
facebook-sdk,53,1,32,3,3,1.1497080326080322
