repo_dir,hits,misses,cache_size,dtf,pfs,ttr
raspberryio,66,443,2,1,1,11.845388889312744
raspberryio,148,361,5,1,1,10.12963604927063
raspberryio,199,310,8,2,1,9.178183794021606
raspberryio,247,262,11,3,1,8.244168043136597
raspberryio,277,232,13,3,1,7.577827215194702
raspberryio,311,198,16,4,1,6.8671300411224365
raspberryio,338,171,19,5,1,6.189584970474243
raspberryio,356,153,22,6,2,5.820339918136597
raspberryio,370,139,24,7,2,5.635002136230469
raspberryio,381,128,27,8,2,5.432599067687988
raspberryio,392,117,30,9,3,5.190244913101196
raspberryio,397,112,33,9,3,5.109570026397705
raspberryio,406,103,35,10,3,4.9166460037231445
raspberryio,409,100,38,11,3,4.835958003997803
raspberryio,419,90,41,12,4,4.698318958282471
raspberryio,420,89,44,13,4,4.61830997467041
raspberryio,430,79,46,13,4,4.366816997528076
raspberryio,433,76,49,14,4,4.386997938156128
raspberryio,438,71,52,15,5,4.354965925216675
raspberryio,444,65,55,16,5,4.312984943389893
raspberryio,446,63,57,17,5,4.2677319049835205
raspberryio,450,59,60,18,6,4.184417009353638
raspberryio,451,58,63,18,6,4.172438859939575
raspberryio,455,54,66,19,6,4.160876989364624
raspberryio,457,52,68,20,6,4.067493915557861
raspberryio,463,46,71,21,7,3.9064810276031494
raspberryio,464,45,74,22,7,3.8950090408325195
raspberryio,466,43,77,23,7,3.8884570598602295
raspberryio,467,42,79,23,7,3.8323400020599365
raspberryio,472,37,82,24,8,3.693310022354126
raspberryio,472,37,85,25,8,3.7405200004577637
raspberryio,473,36,88,26,8,3.7445859909057617
raspberryio,474,35,90,27,9,3.7805070877075195
raspberryio,475,34,93,27,9,3.775376081466675
raspberryio,477,32,96,28,9,3.7424609661102295
raspberryio,478,31,99,29,9,3.7292799949645996
raspberryio,481,28,101,30,10,3.688873052597046
raspberryio,486,23,104,31,10,3.541347026824951
raspberryio,486,23,107,32,10,3.564587116241455
raspberryio,487,22,110,33,11,3.558104991912842
raspberryio,489,20,112,33,11,3.5136420726776123
raspberryio,491,18,115,34,11,3.4555981159210205
raspberryio,491,18,118,35,11,3.4372589588165283
raspberryio,492,17,121,36,12,3.4236748218536377
raspberryio,493,16,123,36,12,3.3601489067077637
raspberryio,493,16,126,37,12,3.4506990909576416
raspberryio,493,16,129,38,12,3.41788387298584
raspberryio,494,15,132,39,13,3.40338397026062
raspberryio,495,14,134,40,13,3.429456949234009
raspberryio,496,13,137,41,13,3.401834011077881
raspberryio,496,13,140,42,14,3.4120171070098877
raspberryio,498,11,143,42,14,3.3325278759002686
raspberryio,500,9,145,43,14,3.3050079345703125
raspberryio,500,9,148,44,14,3.3226871490478516
raspberryio,501,8,151,45,15,3.2669050693511963
raspberryio,501,8,154,46,15,3.319991111755371
raspberryio,502,7,156,46,15,3.2536709308624268
raspberryio,501,8,159,47,15,3.2603797912597656
raspberryio,501,8,162,48,16,3.270024061203003
raspberryio,502,7,165,49,16,3.2333011627197266
raspberryio,503,6,167,50,16,3.175693988800049
raspberryio,503,6,170,51,17,3.2105748653411865
raspberryio,506,3,173,51,17,3.1201679706573486
raspberryio,504,5,176,52,17,3.279226064682007
raspberryio,505,4,178,53,17,3.2705650329589844
raspberryio,506,3,181,54,18,3.2286789417266846
raspberryio,506,3,184,55,18,3.2286531925201416
raspberryio,506,3,187,56,18,3.2009990215301514
raspberryio,507,2,189,56,18,3.1568140983581543
raspberryio,507,2,192,57,19,3.223968029022217
raspberryio,507,2,195,58,19,3.164215087890625
raspberryio,507,2,198,59,19,3.1295299530029297
raspberryio,508,1,200,60,20,3.1220059394836426
raspberryio,508,1,203,60,20,3.141874074935913
raspberryio,509,0,206,61,20,3.1113011837005615
raspberryio,509,0,209,62,20,3.087357997894287
raspberryio,509,0,211,63,21,3.1220450401306152
raspberryio,509,0,214,64,21,3.1095781326293945
raspberryio,509,0,217,65,21,3.141610860824585
raspberryio,509,0,220,66,22,3.086909055709839
raspberryio,509,0,222,66,22,3.1434738636016846
raspberryio,509,0,225,67,22,3.1713509559631348
raspberryio,509,0,228,68,22,3.1678011417388916
raspberryio,509,0,231,69,23,3.034717082977295
raspberryio,509,0,233,69,23,3.1581878662109375
raspberryio,509,0,236,70,23,3.1364450454711914
raspberryio,509,0,239,71,23,3.1080410480499268
raspberryio,509,0,242,72,24,3.0658838748931885
raspberryio,509,0,244,73,24,3.107712984085083
raspberryio,509,0,247,74,24,3.109550952911377
raspberryio,509,0,250,75,25,3.023573160171509
raspberryio,509,0,253,75,25,3.026885986328125
raspberryio,509,0,255,76,25,3.085705041885376
raspberryio,509,0,258,77,25,3.0218629837036133
raspberryio,509,0,261,78,26,3.0832271575927734
raspberryio,509,0,264,79,26,3.1146531105041504
raspberryio,509,0,266,79,26,3.0879080295562744
raspberryio,509,0,269,80,26,3.0807220935821533
raspberryio,509,0,272,81,27,3.096217155456543
raspberryio,509,0,275,82,27,3.0633959770202637
